obs,Comments,time..2,elapsed,date,hhmmss,averaging,id,machine,TIME..9,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Asty,Esty,Adyn,Crd,Csd,dCsd/dt,αVc,Edyn,Hr,Hs,dHs/dt,αVh,Leak,LeakPct,CorrFact,CorrFactPct,Fan,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,UseDynamic,TIME..59,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,ΔCO2,CO2_s_d,CO2_r_d,ΔH2O,CO2_b,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,time..105,hhmmss..106,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,ΔCO2:MN,ΔCO2:SLP,ΔCO2:SD,ΔCO2:OK,ΔH2O:MN,ΔH2O:SLP,ΔH2O:SD,ΔH2O:OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_%,Flow_%,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,AccCO2_soda,AccH2O_des,AccH2O_hum,CO2_hrs,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r,chamber
270,NA,1679596842,6640.5,20230323 13:40:42,13:40:42,5,bou_cur31_t4_ch5,stan,1679596834,0.00097185,0.971850033,15.675383,1227.266775,763.1570969,68.75933321,110.5749334,0.057830577,3.45963177,0.05729886,0.035859153,321.518342,20.68815735,19.99910357,2.346482833,37.68325513,0.845383992,2.243394286,1.501098841,-42.85858645,-134.9427535,-7.813054622,135.9039474,51.58356469,0.982699485,15.675383,1289.72342,1263.476424,3.365300348,64.60777873,0.971850033,8.758205798,9.376388811,-2.29E-05,98.86602098,0,0,1,0,48818,2000.014286,1681.212032,0.840600012,0.160758023,3.21,0.5,0: Broadleaf,2,TRUE,1679596834,1227.266786,1261.154286,9.382883214,8.757972857,1231.335714,9.5888875,500.0505,89.99852143,0.100009386,19.27561071,19.99910357,999.9,0,0,9991.981071,0,13.37785,-33.88737857,1238.890357,1272.297143,0.624910286,1261.154286,8.757972857,0.844445607,0.788204571,4.477223214,3.496631429,2000.014286,0.98000025,0.019999925,0,2.360667857,0,7091.218929,16749.575,36.80092857,38,37.125,36.93035714,35.437,1960.013214,40.00107143,0,1679596849,0,0,--:--:--,1679535718,1679535723,0,-0.148,0.019,-1.284,-0.029,418,24,0.54,0.15,-33.89074146,-0.322747735,0.101463813,0,0.627568854,-0.060976599,0.006046638,1,1,2,2-Jan,2.98316,2.71575,0.198151,0.199213,0.0543204,0.0502654,25442.3,25521.8,29489.9,29474.9,36960,37228.4,41530.9,41998.4,1.97237,1.84,0.0255704,0,19.5662,999.9,51.1,31.5,26.3535,62.4742,32.8606,1,-0.031875,5.99212,20.2422,5.22014,12.0159,4.9903,3.28858,9999,9999,9999,999.9,1.86742,1.86646,1.866,1.86587,1.86768,1.87023,1.86889,1.87027,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-4.12,-0.206,-1.454491418,-0.002482763,5.24E-07,-1.89E-10,-0.169925993,-0.01425007,0.001313896,-2.30E-05,5,2359,1,26,1018.7,1018.6,2.52808,2.19971,1.39648,2.35107,1.49536,2.47314,36.0113,24.0437,18,530.422,404.644,13.2119,26.7189,30.0003,26.6742,26.6191,50.6061,59.7034,0,13.2149,1309.41,8.72292,100.835,100.87,5
271,NA,1679596847,6645.5,20230323 13:40:47,13:40:47,5,bou_cur31_t4_ch5,stan,1679596840,0.000961641,0.961640633,15.80180056,1244.942582,772.1916189,69.57492849,112.1700741,0.057208833,3.461432459,0.0566887,0.035476775,321.5195896,20.69015383,19.99766667,2.346274047,37.66146783,0.844916478,2.243450739,1.501357569,-42.4083519,-134.6694342,-7.793132148,136.6486713,51.73607312,0.973841619,15.80180056,1306.765506,1280.373273,3.378510724,64.60777873,0.961640633,8.758372558,9.37013958,-3.34E-05,98.86602098,0,0,1,0,48855,2000.022222,1681.218689,0.840600004,0.160758009,3.21,0.5,0: Broadleaf,2,TRUE,1679596840,1244.942593,1278.931852,9.377478889,8.758201852,1249.048148,9.583508519,500.0536296,90.00059259,0.100007811,19.27601481,19.99766667,999.9,0,0,9999.253333,0,13.3774,-33.98862593,1256.727037,1290.231852,0.619277926,1278.931852,8.758201852,0.843978593,0.788243185,4.469322222,3.497325926,2000.022222,0.980000333,0.019999844,0,2.342203704,0,7092.363333,16749.63704,36.77985185,38,37.12033333,36.91403704,35.437,1960.021481,40.00074074,0,1679596854,0,0,--:--:--,1679535718,1679535723,0,-0.148,0.019,-1.284,-0.029,418,24,0.54,0.15,-33.9146122,-0.979632753,0.122947122,0,0.623540463,-0.060814286,0.006033708,1,1,2,2-Jan,2.98278,2.71567,0.199793,0.200815,0.0542977,0.0502728,25390,25471.2,29489.7,29475.3,36960.5,37228.9,41530.5,41999.2,1.97213,1.84035,0.0263751,0,19.5686,999.9,51.1,31.5,26.3544,62.3342,33.4014,1,-0.0315574,5.98434,20.2424,5.21954,12.0159,4.99015,3.2885,9999,9999,9999,999.9,1.8674,1.86646,1.866,1.86584,1.86768,1.87018,1.86889,1.87027,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-4.16,-0.2061,-1.454491418,-0.002482763,5.24E-07,-1.89E-10,-0.169925993,-0.01425007,0.001313896,-2.30E-05,5,2359,1,26,1018.8,1018.7,2.55493,2.20337,1.39648,2.35229,1.49536,2.41089,36.0113,24.035,18,530.281,404.864,13.2112,26.7216,30.0002,26.677,26.622,51.168,59.7034,0,13.2133,1322.77,8.72292,100.834,100.872,5
272,NA,1679596852,6650.5,20230323 13:40:52,13:40:52,5,bou_cur31_t4_ch5,stan,1679596844,0.000953578,0.953578228,15.87271047,1260.723561,781.6656416,70.42918233,113.5929799,0.056703559,3.461841637,0.056192589,0.035165893,321.5198604,20.69062023,19.99894286,2.34645948,37.6469927,0.844529725,2.243286023,1.501929755,-42.05279984,-135.1435964,-7.819650855,136.5038133,51.77008031,0.966283573,15.87271047,1323.668654,1297.242061,3.376023074,64.60777873,0.953578228,8.759001846,9.365485315,-1.12E-05,98.86602098,0,0,1,0,48874,2000.023929,1681.220121,0.840600004,0.160758007,3.21,0.5,0: Broadleaf,2,TRUE,1679596844,1260.723571,1294.738571,9.373101429,8.758625,1264.861786,9.579151429,500.05125,90.00137857,0.100038946,19.27483571,19.99894286,999.9,0,0,10000.87107,0,13.3774,-34.01411429,1272.652143,1306.178214,0.614477929,1294.738571,8.758625,0.843592036,0.788288179,4.462778929,3.498133571,2000.023929,0.98000025,0.019999925,0,2.363278571,0,7093.421786,16749.65357,36.76107143,38,37.10925,36.89935714,35.437,1960.023214,40.00071429,0,1679596859,0,0,--:--:--,1679535718,1679535723,0,-0.148,0.019,-1.284,-0.029,418,24,0.54,0.15,-34.00210732,-0.418143554,0.078135887,0,0.61722222,-0.061942077,0.006139109,1,1,2,2-Jan,2.98303,2.7157,0.201407,0.202402,0.0542728,0.0502724,25338.4,25420,29489.3,29474.6,36961,37228.2,41529.9,41998.4,1.97237,1.84048,0.0263788,0,19.5715,999.9,51.1,31.5,26.3527,62.4042,32.7524,1,-0.03156,5.97481,20.2429,5.21969,12.0159,4.9902,3.2885,9999,9999,9999,999.9,1.86738,1.86646,1.866,1.86584,1.86768,1.87022,1.8689,1.87027,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-4.19,-0.2061,-1.454491418,-0.002482763,5.24E-07,-1.89E-10,-0.169925993,-0.01425007,0.001313896,-2.30E-05,5,2359,1,26,1018.9,1018.8,2.58057,2.20337,1.39648,2.35107,1.49536,2.49023,36.0347,24.035,18,530.478,404.954,13.2116,26.7244,30.0001,26.6803,26.6247,51.6502,59.7034,0,13.2135,1342.81,8.72292,100.832,100.869,5
273,NA,1679596857,6655.5,20230323 13:40:57,13:40:57,5,bou_cur31_t4_ch5,stan,1679596850,0.000946898,0.946898077,15.85032912,1278.374064,796.0629514,71.72654369,115.1835454,0.05627074,3.462895332,0.055767654,0.034899609,321.5186867,20.69109705,20.00162963,2.346849915,37.62808767,0.844073969,2.243201876,1.502775946,-41.7582052,-135.7987879,-7.85525454,136.106439,51.81774299,0.957904297,15.85032912,1340.323137,1314.003697,3.356700736,64.60777873,0.946898077,8.759014415,9.361258671,-1.30E-05,98.86602098,0,0,1,0,48815,2000.016296,1681.213733,0.840600017,0.160758033,3.21,0.5,0: Broadleaf,2,TRUE,1679596850,1278.374074,1312.423333,9.368024444,8.758880741,1282.549259,9.574097778,500.0572593,90.0016,0.09999757,19.27423333,20.00162963,999.9,0,0,10005.23778,0,13.3774,-34.04895556,1290.463704,1324.02,0.609144259,1312.423333,8.758880741,0.843137222,0.788313296,4.455076667,3.498584815,2000.016296,0.979999889,0.020000274,0,2.408451852,0,7094.607778,16749.6,36.75,37.99533333,37.09933333,36.89107407,35.43933333,1960.014815,40.00148148,0,1679596864,0,0,--:--:--,1679535718,1679535723,0,-0.148,0.019,-1.284,-0.029,418,24,0.54,0.15,-34.00399268,-0.325179094,0.076913123,0,0.613233341,-0.061591568,0.006106595,1,1,2,2-Jan,2.98306,2.7157,0.20301,0.203977,0.0542493,0.0502672,25287.4,25369.6,29489,29474.4,36961.7,37228.2,41529.6,41998.1,1.97235,1.8406,0.0253841,0,19.5741,999.9,51.1,31.4,26.2073,62.2942,32.8085,1,-0.0312856,5.97599,20.2447,5.21969,12.0159,4.99015,3.2885,9999,9999,9999,999.9,1.86739,1.86646,1.866,1.86585,1.86768,1.87022,1.86889,1.87027,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-4.23,-0.2061,-1.454491418,-0.002482763,5.24E-07,-1.89E-10,-0.169925993,-0.01425007,0.001313896,-2.30E-05,5,2359,1,26,1019,1018.9,2.60742,2.20093,1.39648,2.34985,1.49536,2.51831,36.0113,24.0262,18,530.488,405.049,13.212,26.7273,30.0004,26.6832,26.6281,52.2061,59.7034,0,13.2125,1356.17,8.72292,100.831,100.869,5
274,NA,1679596862,6660.5,20230323 13:41:02,13:41:02,5,bou_cur31_t4_ch5,stan,1679596854,0.000934351,0.934351451,16.36311584,1294.102846,790.4446124,71.21902241,116.5986056,0.055495224,3.460522195,0.055005512,0.034422084,321.5089468,20.69256385,20.00252857,2.346980559,37.61193267,0.843595563,2.242893419,1.503384997,-41.20489898,-136.2854291,-7.888757597,136.1298611,51.8287857,0.949482791,16.36311584,1357.212341,1330.745758,3.318204259,64.60777873,0.934351451,8.759243452,9.353677483,-3.74E-05,98.86602098,0,0,1,0,48815,1999.956071,1681.163078,0.840600002,0.160758004,3.21,0.5,0: Broadleaf,2,TRUE,1679596854,1294.102857,1328.161071,9.362885714,8.759108571,1298.311071,9.568982143,500.0691429,89.99987143,0.10008155,19.272025,20.00252857,999.9,0,0,9995.540714,0,13.3774,-34.05826071,1306.334286,1339.897143,0.603776607,1328.161071,8.759108571,0.842658571,0.788318679,4.446965,3.498681786,1999.956071,0.980000464,0.019999704,0,2.412989286,0,7095.748571,16749.09643,36.76107143,38.02889286,37.11582143,36.94632143,35.51075,1959.9575,39.99928571,0,1679596870,0,0,--:--:--,1679535718,1679535723,0,-0.148,0.019,-1.284,-0.029,418,24,0.54,0.15,-34.0454275,-0.150505441,0.068101391,0,0.6070318,-0.066744023,0.006475998,1,1,2,2-Jan,2.98311,2.7156,0.204585,0.205534,0.0542191,0.0502674,25237.3,25320.2,29488.9,29474.7,36962.8,37228.3,41529.5,41998.3,1.97235,1.84055,0.0254624,0,19.5757,999.9,51.1,31.5,26.3546,62.1542,33.0529,1,-0.0309858,5.97393,20.2448,5.21969,12.0159,4.9901,3.28842,9999,9999,9999,999.9,1.86739,1.86646,1.866,1.86585,1.86768,1.87021,1.8689,1.87027,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-4.26,-0.2061,-1.454491418,-0.002482763,5.24E-07,-1.89E-10,-0.169925993,-0.01425007,0.001313896,-2.30E-05,5,2359,1,26,1019.1,1019,2.63306,2.21069,1.39648,2.34985,1.49536,2.4353,36.0113,24.035,18,530.512,405.04,13.2118,26.7301,30.0004,26.6859,26.6308,52.6861,59.7034,0,13.2122,1376.2,8.72386,100.831,100.869,5
275,NA,1679596867,6665.5,20230323 13:41:07,13:41:07,5,bou_cur31_t4_ch5,stan,1679596860,0.000928909,0.928909194,15.84670307,1311.702212,819.7186479,73.85453214,118.18098,0.055170254,3.459843567,0.05468614,0.034221979,321.4997381,20.69086723,19.99834815,2.346373066,37.59490856,0.843049265,2.242455952,1.503323802,-40.96489545,-136.0632194,-7.877144692,136.5944785,51.90403863,0.940548638,15.84670307,1374.117437,1347.652485,3.387738599,64.60777873,0.928909194,8.758405161,9.349200769,-1.12E-05,98.86602098,0,0,1,0,48731,1999.9,1681.115844,0.840599952,0.160757907,3.21,0.5,0: Broadleaf,2,TRUE,1679596860,1311.702222,1345.812593,9.357085926,8.758975185,1315.948148,9.563209259,500.0596667,89.99737778,0.100038367,19.26889259,19.99834815,999.9,0,0,9992.99037,0,13.3774,-34.1098037,1324.092593,1357.704815,0.598110222,1345.812593,8.758975185,0.842113259,0.788284852,4.43772,3.498074074,1999.9,0.980002074,0.019998085,0,2.356814815,0,7097.217778,16748.63333,36.82159259,38.13174074,37.1757037,37.06237037,35.64088889,1959.906667,39.99481481,0,1679596874,0,0,--:--:--,1679535718,1679535723,0,-0.148,0.019,-1.284,-0.029,418,24,0.54,0.15,-34.091735,-0.687077674,0.09775274,0,0.601602275,-0.066191448,0.006423219,1,1,2,2-Jan,2.98308,2.71556,0.206173,0.207101,0.0541948,0.0502689,25187,25270,29489,29474.3,36963.8,37228.1,41529.5,41998.1,1.97225,1.84013,0.0253469,0,19.5766,999.9,51.1,31.5,26.3576,62.4342,32.8486,1,-0.0307622,5.96448,20.245,5.21984,12.0159,4.9899,3.28848,9999,9999,9999,999.9,1.86741,1.86647,1.866,1.86584,1.86768,1.87022,1.8689,1.87027,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-4.3,-0.2062,-1.454491418,-0.002482763,5.24E-07,-1.89E-10,-0.169925993,-0.01425007,0.001313896,-2.30E-05,5,2359,1,26,1019.2,1019.1,2.65869,2.19727,1.39648,2.35107,1.49536,2.52441,36.0113,24.0437,18,530.471,404.819,13.2122,26.733,30.0003,26.6888,26.6337,53.2395,59.7034,0,13.2137,1389.56,8.73171,100.831,100.869,5
276,NA,1679596872,6670.5,20230323 13:41:12,13:41:12,5,bou_cur31_t4_ch5,stan,1679596864,0.00091924,0.919239642,15.84023108,1327.45499,830.3391827,74.80988906,119.5978253,0.054581259,3.459301854,0.054107306,0.033859306,321.5000646,20.69219945,19.9967,2.346133597,37.57592516,0.842568863,2.242310361,1.503564734,-40.53846821,-135.928981,-7.870496928,137.1621185,52.06889629,0.931587488,15.84023108,1391.281444,1364.687273,3.415606814,64.60777873,0.919239642,8.760432414,9.345104056,-1.31E-05,98.86602098,0,0,1,0,48918,1999.901071,1681.116824,0.840599992,0.160757984,3.21,0.5,0: Broadleaf,2,TRUE,1679596864,1327.455,1361.673571,9.351944643,8.759520714,1331.733571,9.558091786,500.0523571,89.99556786,0.100010693,19.26785,19.9967,999.9,0,0,9990.934643,0,13.3774,-34.21769643,1339.986429,1373.706429,0.592423893,1361.673571,8.759520714,0.841633571,0.788317964,4.429585,3.498670357,1999.901071,0.980000107,0.019999879,0,2.378717857,0,7098.604643,16748.63571,36.91271429,38.27878571,37.261,37.21857143,35.79210714,1959.905,39.9975,0,1679596879,0,0,--:--:--,1679535718,1679535723,0,-0.148,0.019,-1.284,-0.029,418,24,0.54,0.15,-34.17244878,-1.277149129,0.143122399,0,0.595671537,-0.069590279,0.006911293,1,1,2,2-Jan,2.98272,2.71553,0.207765,0.208645,0.0541752,0.0502696,25136.7,25220.4,29489.3,29473.9,36964.8,37227.7,41529.7,41997.6,1.9723,1.84063,0.0257939,0,19.5778,999.9,51.1,31.5,26.3555,62.1742,33.153,1,-0.0305259,5.94827,20.2455,5.21984,12.0159,4.99035,3.28848,9999,9999,9999,999.9,1.8674,1.86647,1.866,1.86585,1.86768,1.87023,1.8689,1.87027,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-4.34,-0.2062,-1.454491418,-0.002482763,5.24E-07,-1.89E-10,-0.169925993,-0.01425007,0.001313896,-2.30E-05,5,2359,1,26,1019.2,1019.1,2.68433,2.20703,1.39648,2.35107,1.49536,2.3999,36.0347,24.035,18,530.531,405.122,13.2145,26.7351,30.0004,26.6915,26.6364,53.7137,59.7034,0,13.2175,1409.6,8.73843,100.832,100.867,5
277,NA,1679596877,6675.5,20230323 13:41:17,13:41:17,5,bou_cur31_t4_ch5,stan,1679596870,0.000912234,0.912234035,16.37515075,1345.111841,827.9149121,74.59084766,121.1876135,0.054123742,3.461564828,0.053657966,0.033577742,321.5045258,20.69224261,20.00044444,2.34667768,37.55612502,0.842090018,2.242217529,1.504587661,-40.22952095,-136.8407572,-7.918235519,136.5160122,52.13627755,0.922936108,16.37515075,1407.918929,1381.352303,3.337389392,64.60777873,0.912234035,8.75978682,9.340065315,-2.06E-05,98.86602098,0,0,1,0,48823,1999.927037,1681.1388,0.840600066,0.160758128,3.21,0.5,0: Broadleaf,2,TRUE,1679596870,1345.111852,1379.377037,9.346708148,8.759778148,1349.426667,9.552878519,500.0484074,89.9949037,0.099919526,19.26718519,20.00044444,999.9,0,0,10000.43704,0,13.3774,-34.26415185,1357.801852,1391.566296,0.586930185,1379.377037,8.759778148,0.841156111,0.788335333,4.421482593,3.498981852,1999.927037,0.979997519,0.020002259,0,2.374022222,0,7100.125556,16748.82593,37.04603704,38.46503704,37.37255556,37.37707407,35.93022222,1959.924815,40.00296296,0,1679596884,0,0,--:--:--,1679535718,1679535723,0,-0.148,0.019,-1.284,-0.029,418,24,0.54,0.15,-34.21599756,-0.693029268,0.113159737,0,0.591235439,-0.066603261,0.006618529,1,1,2,2-Jan,2.98291,2.7157,0.209324,0.21017,0.0541537,0.0502774,25087,25172.1,29488.9,29474.2,36965.3,37227.7,41529.3,41998,1.97213,1.8403,0.0256002,0,19.5793,999.9,51.1,31.5,26.3562,62.4242,33.2091,1,-0.0302388,5.97133,20.2444,5.21999,12.0159,4.9906,3.28858,9999,9999,9999,999.9,1.86739,1.86646,1.866,1.86584,1.86768,1.87023,1.8689,1.87027,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-4.36,-0.2062,-1.454491418,-0.002482763,5.24E-07,-1.89E-10,-0.169925993,-0.01425007,0.001313896,-2.30E-05,5,2359,1,26,1019.3,1019.2,2.70996,2.20093,1.39648,2.35474,1.49536,2.40845,36.0347,24.0262,18,530.445,404.958,13.2157,26.738,30.0002,26.6949,26.6393,54.2688,59.7034,0,13.2137,1422.96,8.74588,100.831,100.868,5
278,NA,1679596882,6680.5,20230323 13:41:22,13:41:22,5,bou_cur31_t4_ch5,stan,1679596874,0.000902097,0.902096859,16.53568088,1360.858918,832.8521855,75.03568389,122.6063656,0.053495985,3.461882937,0.053040943,0.03319115,321.5090711,20.69426793,20.00161429,2.346847685,37.53767314,0.841669014,2.242198154,1.505178671,-39.7824715,-137.0975653,-7.932408624,136.6966256,52.20618295,0.914480991,16.53568088,1424.890431,1398.141333,3.353895625,64.60777873,0.902096859,8.761044243,9.334868252,-2.04E-05,98.86602098,0,0,1,0,48759,1999.953214,1681.160979,0.840600153,0.160758296,3.21,0.5,0: Broadleaf,2,TRUE,1679596874,1360.858929,1395.170357,9.342033571,8.7604875,1365.2075,9.548224286,500.0567857,89.99489286,0.099946529,19.26704643,20.00161429,999.9,0,0,10001.76393,0,13.3774,-34.30976071,1373.691071,1407.499286,0.581546071,1395.170357,8.7604875,0.84073525,0.788399036,4.414338214,3.500127143,1999.953214,0.979994536,0.020005064,0,2.39545,0,7101.331786,16749.02143,37.156,38.61582143,37.46628571,37.49978571,36.0265,1959.943571,40.00928571,0,1679596889,0,0,--:--:--,1679535718,1679535723,0,-0.148,0.019,-1.284,-0.029,418,24,0.54,0.15,-34.27810488,-0.311420906,0.085625093,0,0.585601293,-0.065371233,0.006480245,1,1,2,2-Jan,2.98293,2.7157,0.21087,0.211687,0.0541303,0.0502717,25038.3,25123.6,29489.4,29474,36967,37227.6,41530.1,41997.5,1.97202,1.84063,0.0256225,0,19.5808,999.9,51.1,31.5,26.3543,62.1642,33.153,1,-0.0300127,5.99517,20.2439,5.22028,12.0159,4.9903,3.28865,9999,9999,9999,999.9,1.86746,1.86647,1.866,1.86584,1.86768,1.87022,1.8689,1.87027,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-4.4,-0.2062,-1.454491418,-0.002482763,5.24E-07,-1.89E-10,-0.169925993,-0.01425007,0.001313896,-2.30E-05,5,2359,1,26,1019.4,1019.3,2.7356,2.20337,1.39648,2.35107,1.49536,2.47559,36.0347,24.035,18,530.398,405.165,13.2118,26.7408,30.0003,26.6971,26.6425,54.7433,59.7034,0,13.207,1442.99,8.75662,100.833,100.867,5
279,NA,1679596887,6685.5,20230323 13:41:27,13:41:27,5,bou_cur31_t4_ch5,stan,1679596880,0.000894339,0.894339276,16.14223992,1378.456286,856.8696039,77.20013973,124.1927796,0.052966215,3.460528293,0.052519928,0.032864738,321.509981,20.69508556,20.01108148,2.348223886,37.5192943,0.841180956,2.241995677,1.50704293,-39.44036208,-139.0806991,-8.050633236,134.9382866,52.19756018,0.905888381,16.14223992,1441.613138,1414.998848,3.379018196,64.60777873,0.894339276,8.760186888,9.329083776,-2.19E-05,98.86602098,0,0,1,0,48725,1999.96,1681.166589,0.840600107,0.160758206,3.21,0.5,0: Broadleaf,2,TRUE,1679596880,1378.456296,1412.764444,9.336542593,8.760465556,1382.842222,9.542757778,500.0636667,89.99554815,0.100003585,19.2655963,20.01108148,999.9,0,0,9996.046296,0,13.3774,-34.3075963,1391.447407,1425.24963,0.576076407,1412.764444,8.760465556,0.840247296,0.788402926,4.406048519,3.500196667,1999.96,0.979996111,0.020003489,0,2.375896296,0,7102.633333,16749.07407,37.27288889,38.78677778,37.57144444,37.63407407,36.13174074,1959.953333,40.0062963,0,1679596894,0,0,--:--:--,1679535718,1679535723,0,-0.148,0.019,-1.284,-0.029,418,24,0.54,0.15,-34.3134,-0.031852908,0.079045398,1,0.5794001,-0.062681493,0.006050571,1,2,2,2-Feb,2.98278,2.71543,0.21242,0.213225,0.0541068,0.0502708,24989,25074.6,29489.3,29474,36967.8,37227.8,41530,41997.7,1.9724,1.8405,0.0268146,0,19.5799,999.9,51.1,31.4,26.2059,62.0842,33.2412,1,-0.0299035,5.98878,20.2442,5.22118,12.0159,4.99065,3.28865,9999,9999,9999,999.9,1.86742,1.86646,1.866,1.86584,1.86768,1.87021,1.86888,1.87027,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-4.44,-0.2063,-1.454491418,-0.002482763,5.24E-07,-1.89E-10,-0.169925993,-0.01425007,0.001313896,-2.30E-05,5,2359,1,26,1019.5,1019.4,2.76123,2.20581,1.39771,2.35352,1.49536,2.38892,36.0347,24.0262,18,530.681,405.11,13.2062,26.7431,30.0004,26.7006,26.6448,55.2873,59.7034,0,13.2055,1456.35,8.77209,100.832,100.868,5
280,NA,1679596892,6690.5,20230323 13:41:32,13:41:32,5,bou_cur31_t4_ch5,stan,1679596884,0.000884435,0.884434685,16.32553514,1394.230704,861.0693461,77.57891493,125.6146275,0.052359476,3.459052388,0.051923125,0.032490854,321.5151812,20.69580847,20.01115357,2.348234368,37.50452153,0.840739986,2.241703005,1.507494382,-39.00356961,-139.4257519,-8.073966346,135.0118934,52.32366241,0.89782039,16.32553514,1458.902366,1432.091212,3.395315679,64.60777873,0.884434685,8.760747324,9.323279301,-1.23E-05,98.86602098,0,0,1,0,48784,1999.993571,1681.194707,0.840600056,0.160758107,3.21,0.5,0: Broadleaf,2,TRUE,1679596884,1394.230714,1428.621786,9.331600357,8.760650714,1398.651429,9.537839286,500.0633214,89.996,0.100012921,19.2635,20.01115357,999.9,0,0,9989.8475,0,13.3774,-34.39063571,1407.363571,1441.248214,0.570950857,1428.621786,8.760650714,0.839806821,0.788423536,4.398562857,3.500566071,1999.993571,0.979997643,0.020001957,0,2.374067857,0,7104.108571,16749.37857,37.36807143,38.93053571,37.66485714,37.75875,36.21628571,1959.989643,40.00357143,0,1679596900,0,0,--:--:--,1679535718,1679535723,0,-0.148,0.019,-1.284,-0.029,418,24,0.54,0.15,-34.34710244,-0.909581185,0.11345418,0,0.573923146,-0.064444767,0.006373155,1,1,2,2-Jan,2.98302,2.71562,0.213972,0.214723,0.0540833,0.0502699,24939.1,25026.9,29488.5,29474.1,36967.6,37227.8,41528.7,41997.7,1.972,1.84048,0.0255741,0,19.5793,999.9,51.1,31.4,26.2054,62.2142,32.7484,1,-0.0293801,6.09364,20.24,5.22028,12.0159,4.99055,3.28865,9999,9999,9999,999.9,1.86742,1.86646,1.866,1.86584,1.86768,1.87024,1.86888,1.87027,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-4.48,-0.2063,-1.454491418,-0.002482763,5.24E-07,-1.89E-10,-0.169925993,-0.01425007,0.001313896,-2.30E-05,5,2359,1,26,1019.6,1019.5,2.78687,2.19971,1.39648,2.35107,1.49536,2.50732,36.0347,24.035,18,530.433,405.116,13.1966,26.7455,30.0004,26.7027,26.6476,55.7579,59.7034,0,13.1788,1476.39,8.78552,100.829,100.868,5
