,ID,species,ps_pathway,chamber,trt,tray_number,planting.date,germination_date,Thinning_date,measurment_date,growth_co2,growth_temp,common.temp,leaf.biomass,leaf.13c.mass.mg.,leaf.d13c,leaf.d15NAir,focal.area,vcmax20,vpmax20,jmax20,tpu20,rd20,amaxLA20,vpmaxLA20,vcmax27.5,vpmax27.5,jmax27.5,tpu27.5,rd27.5,amaxLA27.5,vpmaxLA27.5,vcmax35,vpmax35,jmax35,tpu35,rd35,amaxLA35,vpmaxLA35
39,sch_sco7_t4_ch2,Schizachyrium Scoparium,C4,2,AC+LT,4,12/26/22,,NA,NA,420,20,27.5,0.04,2.845,-7.89,20.29,20.833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,sch_sco8_t4_ch2,Schizachyrium Scoparium,C4,2,AC+LT,4,12/26/22,,NA,NA,420,20,27.5,0.2,NA,NA,NA,NA,119569793.7,33.9815634,178.7119716,NA,1.303130713,46.11613835,47.19987488,9294155.056,6.149736396,44.68120157,NA,2.042284975,10.07023151,12.95485868,NA,NA,NA,NA,NA,NA,NA
41,sor_nut1_t1_ch2,Sorghastrum nutans,C4,2,AC+LT,1,12/26/22,,NA,NA,420,20,27.5,0.05,2.881,-7.29,14.41,21.669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,sor_nut2_t1_ch2,Sorghastrum nutans,C4,2,AC+LT,1,12/26/22,1/9/23,NA,NA,420,20,27.5,0.1,2.823,-8.32,18.17,26.046,37.02747214,29.48481104,NA,NA,0.932768002,14.85935601,20.56455062,23.96332426,38.74477103,NA,NA,1.744100805,28.51193713,29.40198558,NA,NA,NA,NA,NA,NA,NA
43,sor_nut3_t2_ch2,Sorghastrum nutans,C4,2,AC+LT,2,12/26/22,1/11/23,NA,NA,420,20,27.5,0.12,2.926,-8.12,21.21,39.869,NA,NA,NA,NA,NA,NA,NA,4237433.655,11.05611455,NA,NA,1.441557658,18.35933006,26.26529869,NA,NA,NA,NA,NA,NA,NA
44,sor_nut4_t2_ch2,Sorghastrum nutans,C4,2,AC+LT,2,12/26/22,1/7/23,NA,NA,420,20,27.5,0.11,2.786,-8.46,20.81,27.686,NA,NA,NA,NA,0.6385134,16.78104,17.3062523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,sor_nut5_t3_ch2,Sorghastrum nutans,C4,2,AC+LT,3,12/26/22,,NA,NA,420,20,27.5,0.06,2.778,-8.19,20.3,24.612,2647.264862,5.207136617,NA,NA,1.138480633,17.56479633,35.41360906,2775638.05,8.346926379,50.02772384,NA,2.004824747,13.41692814,12.01961626,NA,NA,NA,NA,NA,NA,NA
46,sor_nut6_t3_ch2,Sorghastrum nutans,C4,2,AC+LT,3,12/26/22,,NA,NA,420,20,27.5,0.02,2.832,-8.46,19.15,19.688,328259798,39.90888265,NA,NA,1.668988236,89.09154109,67.5099379,213.8283616,21.37950238,102.7720234,NA,2.184034065,78.12874153,64.5540012,NA,NA,NA,NA,NA,NA,NA
47,sor_nut7_t4_ch2,Sorghastrum nutans,C4,2,AC+LT,4,12/26/22,1/9/23,NA,NA,420,20,27.5,0.05,2.78,-8.2,22.04,19.264,14187415.68,1.429129459,33.42016352,NA,0.87382011,NA,NA,23716436.47,3.236716695,26.56448983,NA,1.662124784,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,sor_nut8_t4_ch2,Sorghastrum nutans,C4,2,AC+LT,4,12/26/22,1/11/23,NA,NA,420,20,27.5,0.2,2.83,-9.46,22.27,48.973,NA,NA,NA,NA,NA,NA,NA,62972786.16,10.33228537,61.10348693,NA,1.48104867,22.3337807,18.90019678,NA,NA,NA,NA,NA,NA,NA
49,pas_smi25_t1_ch5,Pascopyrum Smithii,C3,5,EC+LT,1,12/26/22,,NA,NA,1000,20,27.5,0.06,2.889,-28.57,20.69,12.936,28.10217398,NA,80.22451658,5.885064448,0.857080412,NA,NA,55.55327959,NA,128.6306637,NA,1.468946702,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,pas_smi26_t1_ch5,Pascopyrum Smithii,C3,5,EC+LT,1,12/26/22,,NA,NA,1000,20,27.5,0.1,2.768,-28.49,17.11,17.706,26.4035676,NA,77.0390755,NA,0.910444797,NA,NA,56.51462757,NA,131.4557456,NA,1.755847459,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,pas_smi27_t2_ch5,Pascopyrum Smithii,C3,5,EC+LT,2,12/26/22,1/11/23,NA,NA,1000,20,27.5,0.25,3.108,-28.7,19.05,19.227,56.51462757,NA,131.4557456,NA,1.755847459,NA,NA,107.0673472,NA,196.4945243,NA,2.826641707,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,pas_smi28_t2_ch5,Pascopyrum Smithii,C3,5,EC+LT,2,12/26/22,1/9/23,NA,NA,1000,20,27.5,no leave,NA,NA,NA,19.405,27.6224633,NA,62.71411085,NA,1.338628139,NA,NA,52.25288029,NA,84.44943714,NA,1.390984957,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,pas_smi29_t3_ch5,Pascopyrum Smithii,C3,5,EC+LT,3,12/26/22,1/10/23,NA,NA,1000,20,27.5,0.1,3.172,-29.14,21.19,16.083,29.84326015,NA,83.56320462,5.831037217,1.146261049,NA,NA,50.32938543,NA,109.2758371,NA,1.983530753,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,pas_smi30_t3_ch5,Pascopyrum Smithii,C3,5,EC+LT,3,12/26/22,,NA,NA,1000,20,27.5,0.07,2.805,-30.03,19.55,13.427,NA,NA,NA,NA,NA,NA,NA,62.77632528,NA,156.5536672,NA,2.318280694,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,pas_smi31_t4_ch5,Pascopyrum Smithii,C3,5,EC+LT,4,12/26/22,,NA,NA,1000,20,27.5,0.02,3.135,-29.97,16.21,9.965,46.38784861,NA,125.542713,NA,0.972688732,NA,NA,70.65486169,NA,156.5189566,NA,2.123109114,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,pas_smi32_t4_ch5,Pascopyrum Smithii,C3,5,EC+LT,4,12/26/22,1/13/23,NA,NA,1000,20,27.5,0.06,2.9,-29.72,18.23,11.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,ely_can25_t1_ch5,Elymus Canadensis,C3,5,EC+LT,1,12/26/22,1/7/23,NA,NA,1000,20,27.5,0.02,2.901,-30.03,16.62,19.682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,ely_can26_t1_ch5,Elymus Canadensis,C3,5,EC+LT,1,12/26/22,,NA,NA,1000,20,27.5,0.01,2.975,-28.68,18.91,8.824,13.73721899,NA,38.16136421,NA,0.276847106,NA,NA,25.96600317,NA,52.07335653,3.728433485,0.557998616,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,ely_can27_t2_ch5,Elymus Canadensis,C3,5,EC+LT,2,12/26/22,1/6/23,NA,NA,1000,20,27.5,no leave,NA,NA,NA,7.031,16.57964061,NA,45.80071001,3.364754061,0.631780953,NA,NA,32.90427171,NA,58.5699832,NA,1.341855124,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,ely_can28_t2_ch5,Elymus Canadensis,C3,5,EC+LT,2,12/26/22,1/5/23,NA,NA,1000,20,27.5,0.02,2.975,-28.91,16.82,15.452,18.73142081,NA,53.63769422,NA,0.609821316,NA,NA,34.77094115,NA,71.20309091,NA,1.151831179,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,ely_can29_t3_ch5,Elymus Canadensis,C3,5,EC+LT,3,12/26/22,1/5/23,NA,NA,1000,20,27.5,0.01,2.952,-29.91,16.62,13.824,NA,NA,NA,NA,NA,NA,NA,16.34850783,NA,34.7636417,2.478491627,0.795699819,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,ely_can30_t3_ch5,Elymus Canadensis,C3,5,EC+LT,3,12/26/22,1/6/23,NA,NA,1000,20,27.5,0.01,NA,NA,NA,10.901,NA,NA,NA,NA,NA,NA,NA,27.27257995,NA,54.92424745,3.851310517,0.990216213,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,ely_can31_t4_ch5,Elymus Canadensis,C3,5,EC+LT,4,12/26/22,1/5/23,NA,NA,1000,20,27.5,0.04,2.846,-30.34,15.77,17.576,NA,NA,NA,NA,NA,NA,NA,30.28813876,NA,61.9159862,4.262514934,0.810027639,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,ely_can32_t4_ch5,Elymus Canadensis,C3,5,EC+LT,4,12/26/22,1/4/23,NA,NA,1000,20,27.5,0.01,2.762,-30.59,12.78,11.14,NA,NA,NA,NA,NA,NA,NA,17.54234408,NA,40.66585932,2.915291454,0.82237396,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,poa_pra25_t1_ch5,Poa Pratensis,C3,5,EC+LT,1,12/26/22,1/7/23,NA,NA,1000,20,27.5,0.03,2.98,-29.28,16.54,16.211,24.82552616,NA,76.26482888,NA,0.593852951,NA,NA,53.78322368,NA,83.74254017,5.067537918,0.886212736,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,poa_pra26_t1_ch5,Poa Pratensis,C3,5,EC+LT,1,12/26/22,1/9/23,NA,NA,1000,20,27.5,0.01,2.909,-30.23,17.03,6.06,30.08716542,NA,90.96635329,NA,0.694480461,NA,NA,75.9802945,NA,85.83374733,NA,1.209645266,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,poa_pra27_t2_ch5,Poa Pratensis,C3,5,EC+LT,2,12/26/22,1/5/23,NA,NA,1000,20,27.5,0.01,2.933,-31.5,18.89,12.301,32.96842345,NA,74.24068654,5.128512952,0.429687424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,poa_pra28_t2_ch5,Poa Pratensis,C3,5,EC+LT,2,12/26/22,,NA,NA,1000,20,27.5,0.04,2.902,-29.88,14.1,12.554,39.71395972,NA,77.93009085,NA,0.77085744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,poa_pra29_t3_ch5,Poa Pratensis,C3,5,EC+LT,3,12/26/22,1/10/23,NA,NA,1000,20,27.5,0.01,2.733,-27.66,11.99,20.294,12.97593541,NA,67.08364729,2.887596966,0.63239711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,poa_pra30_t3_ch5,Poa Pratensis,C3,5,EC+LT,3,12/26/22,1/3/23,NA,NA,1000,20,27.5,0.04,2.951,-27.23,18.37,20.98,17.95139661,NA,53.4204033,3.932647306,1.018996862,NA,NA,37.04830786,NA,77.10833522,NA,1.552410542,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,poa_pra31_t4_ch5,Poa Pratensis,C3,5,EC+LT,4,12/26/22,1/6/23,NA,NA,1000,20,27.5,0.02,2.874,-29.88,14.67,19.991,21.88288249,NA,58.2305738,5.040081817,0.555009481,NA,NA,45.65759351,NA,92.6072503,6.291056512,0.637628466,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,poa_pra32_t4_ch5,Poa Pratensis,C3,5,EC+LT,4,12/26/22,1/6/23,NA,NA,1000,20,27.5,0.03,2.971,-29.25,16.39,17.704,36.33613197,NA,114.292793,1.143677528,NA,NA,NA,35.47434934,NA,118.0915494,NA,1.894970205,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,bou_cur25_t1_ch5,Bouteloua Curtipendula,C4,5,EC+LT,1,12/26/22,1/7/23,NA,NA,1000,20,27.5,0.01,NA,NA,NA,NA,66725.26,26.07027,NA,NA,1.333214,22.57565,34.82488,35.53294,37.49304,NA,NA,1.871917,116.81693,65.39396,NA,NA,NA,NA,NA,NA,NA
74,bou_cur26_t1_ch5,Bouteloua Curtipendula,C4,5,EC+LT,1,12/26/22,,NA,NA,1000,20,27.5,no leave,NA,NA,NA,2.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,bou_cur27_t2_ch5,Bouteloua Curtipendula,C4,5,EC+LT,2,12/26/22,,NA,NA,1000,20,27.5,no leave,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,bou_cur28_t2_ch5,Bouteloua Curtipendula,C4,5,EC+LT,2,12/26/22,,NA,NA,1000,20,27.5,no leave,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,bou_cur29_t3_ch5,Bouteloua Curtipendula,C4,5,EC+LT,3,12/26/22,1/12/23,NA,NA,1000,20,27.5,0.01,2.915,-9.08,25.66,3.987,32.85890211,21.33558559,NA,NA,1.134411864,8.421721907,15.87380039,24.49461747,26.23491961,81.34753602,NA,0.961226553,68.73242502,28.08320816,NA,NA,NA,NA,NA,NA,NA
78,bou_cur30_t3_ch5,Bouteloua Curtipendula,C4,5,EC+LT,3,12/26/22,,NA,NA,1000,20,27.5,0.02,2.764,-10.02,21.79,7.833,37.18061473,18.19300845,NA,NA,0.961226553,73.62303435,25.9602467,63.81848767,14.54595911,63.0892105,NA,1.292040811,23.94744312,25.98665457,NA,NA,NA,NA,NA,NA,NA
79,bou_cur31_t4_ch5,Bouteloua Curtipendula,C4,5,EC+LT,4,12/26/22,1/10/23,NA,NA,1000,20,27.5,0.02,2.814,-10.43,14.78,7.075,401.1298852,14.88149665,NA,NA,0.581594805,21.9475041,27.21621633,383.9971238,23.29282754,NA,NA,1.337349922,54.70245433,64.85137081,NA,NA,NA,NA,NA,NA,NA
80,bou_cur32_t4_ch5,Bouteloua Curtipendula,C4,5,EC+LT,4,12/26/22,1/2/23,NA,NA,1000,20,27.5,0.03,2.914,-8.61,21.44,9.218,1700.561208,29.53974281,NA,NA,1.424664681,40.92184678,45.29537289,2528.348825,30.97952878,NA,NA,1.328604876,35.21239148,55.24026877,NA,NA,NA,NA,NA,NA,NA
81,sch_sco25_t1_ch5,Schizachyrium Scoparium,C4,5,EC+LT,1,12/26/22,1/10/23,NA,NA,1000,20,27.5,0.01,2.778,-8.09,20.57,11.372,455.08647,22.42617,135.46147,NA,0.9036937,27.998232,30.45132,331.49219,21.33855,NA,NA,1.792789356,44.003931,46.46529,NA,NA,NA,NA,NA,NA,NA
82,sch_sco26_t1_ch5,Schizachyrium Scoparium,C4,5,EC+LT,1,12/26/22,1/5/23,NA,NA,1000,20,27.5,0.01,2.99,-6.34,20.06,9.534,37.01571442,40.50260543,NA,NA,1.465243978,37.97889548,48.90675428,281.290977,15.8382788,NA,NA,1.444596606,29.01621723,21.92668827,NA,NA,NA,NA,NA,NA,NA
