obs,time,elapsed,date,hhmmss,averaging,id,TIME,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Asty,Esty,Adyn,Crd,Csd,dCsd.dt,αVc,Edyn,Hr,Hs,dHs.dt,αVh,Leak,LeakPct,CorrFact,CorrFactPct,Fan,DarkAdaptedID,Qmax_d,Fo,Fm,Fv.Fm,A_dark,LightAdaptedID,Qmax,Fs,Fm.,PhiPS2,PS2.1,Qabs_fs,A_fs,ETR,PhiCO2,NPQ,alt._Fo.,DarkPulseID,Fmin,Fo.,Fv..Fm.,qP,qN,qP_Fo,qN_Fo,qL,X1.qL,ID,P1_dur,P1_Fmax,T.P1_Fmax,Q.P1_Fmax,P1_PredF,P1_ΔF,P2_dur,P2_ramp,P2_int,P2_int_se,P2_slp,P2_slp_se,P2_R2,P2_dQdt,P3_dur,P3_Fmax,T.P3_Fmax,Q.P3_Fmax,P3_PredF,P3_ΔF,ID.1,Dur,DCo,InitSlope,Fo.1,F1,T.F1,T.HIR,F2,T.F2,DCmax,T.DCmax,PhiPS2_dc,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,UseDynamic,TIME.1,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,ΔCO2,CO2_s_d,CO2_r_d,ΔH2O,CO2_b,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,F_avg,dF.dt,dF_dc.dt,F_dc_avg,period,time.1,hhmmss.1,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,ΔCO2.MN,ΔCO2.SLP,ΔCO2.SD,ΔCO2.OK,ΔH2O.MN,ΔH2O.SLP,ΔH2O.SD,ΔH2O.OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_.,Flow_.,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,AccCO2_soda,AccH2O_des,AccH2O_hum,CO2_hrs,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_.,Desiccant_.,Humidifier_.,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r,NA.,chamber
11,1679620729,50,20230323 20:18:48,20:18:48,5,sor_nut32_t4_ch5,1679620726,0.000367532,0.367531704,-0.991475932,420.3256004,481.3547311,43.19330722,37.71699251,0.021705761,3.965952714,0.021639979,0.013530881,0,19.81087793,19.98881,2.344987511,36.40379973,0.848088191,2.329669423,1.49689932,-16.20814816,-22.61708019,-1.145824524,-39.97105288,-1.066164414,0.373005164,-0.991475932,423.923354,424.3100545,-0.00088744,67.06087088,0.367531704,9.310375334,9.449800485,-5.18E-05,91.37480055,0,0,1,0,48623,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,0,0,0,1.91,0.5,0: Broadleaf,2,TRUE,1679620726,420.3256,419.9782,9.451262,9.310114,420.8384,9.407744,499.9762,89.63279,0.10000876,19.88303,19.98881,999.9,0,0,9997.008,0,0.30357,0.3472808,424.336,423.9251,0.1411465,419.9782,9.310114,0.8471429,0.8344917,4.522789,4.30796,0,0,0,0,2.2005,0,-26.87667,-2.25345,33.5,38.1934,35.6185,37.3623,33.2248,0,0,0,1679620710,0,2.116496,0.980699999,-6.072784612,-26.913804,15,1679620412,20:13:31,1679620412,1679620404,1,0.331,0.019,-0.513,0.043,420,9,0.07,0.08,0.351596,-0.08145197,0.033547191,1,0.134742975,0.068243741,0.007066165,1,2,2,2-Feb,3.10119,2.73539,0.087824,0.0877256,0.0542159,0.0543607,23508,23225.7,26311.2,25789.4,39965.5,37227.7,46037.8,42593.5,1.91755,1.90768,-0.008028,0,20.1201,999.9,57.2,29.8,26.8783,60.9852,23.5016,1,-0.0951728,2.55593,20.2764,5.22403,11.98,4.96575,3.27513,9999,9999,9999,953.5,1.86417,1.86015,1.85832,1.85987,1.85989,1.85822,1.8573,1.85236,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-0.513,0.0435,-0.258129653,-0.000608172,3.95E-08,-7.65E-11,0.005956959,-0.002774667,0.000771921,-5.59E-06,2,1990,1,24,5.3,5.4,1.11084,2.60498,1.49658,2.40601,1.54907,2.30713,33.8283,24.2101,18,489.175,494.392,17.8482,25.9522,29.9993,26.2171,26.21,22.3398,59.9214,0,17.855,420,9.32559,100.584,101.046,NA,5
12,1679620734,55,20230323 20:18:53,20:18:53,5,sor_nut32_t4_ch5,1679620731,0.000375044,0.375043587,-1.156213297,420.3270005,491.6735348,44.11910696,37.71700239,0.022152476,3.960643703,0.022083872,0.013808566,0,19.80799037,19.987,2.344724663,36.40019343,0.847934858,2.329478988,1.496789806,-16.53942218,-22.4819388,-1.140486463,-40.16184744,-1.074142194,0.381218253,-1.156213297,423.9058679,424.3494485,0.000453994,67.06087088,0.375043587,9.306410636,9.448474182,-2.24E-05,91.37480055,0,0,1,0,48457,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,0,0,0,1.91,0.5,0: Broadleaf,2,TRUE,1679620731,420.327,419.9778889,9.449582222,9.305333333,420.84,9.406082222,500.0013333,89.63232222,0.100201156,19.88171111,19.987,999.9,0,0,9978.816667,0,0.30357,0.349216,424.3367778,423.9227778,0.144248444,419.9778889,9.305333333,0.846988,0.834058444,4.520173333,4.300555556,0,0,0,0,1.959611111,0,-25.63996667,-2.157555556,33.51377778,38.30533333,35.69433333,37.49277778,33.24988889,0,0,0,1679620716,0,2.054392308,-0.143494036,14.40988378,-26.79898077,15,1679620412,20:13:31,1679620412,1679620404,1,0.331,0.019,-0.513,0.043,420,9,0.07,0.08,0.350225025,-0.050063336,0.035067613,1,0.1397138,0.037500135,0.003828994,1,2,2,2-Feb,3.1013,2.73548,0.087827,0.0877425,0.0542095,0.0543314,23508.3,23225.5,26311.5,25789.7,39966.3,37228.8,46038.4,42593.5,1.91772,1.90758,-0.00827014,0,20.1183,999.9,57.2,29.8,26.8804,61.2052,23.3774,1,-0.0957647,2.55877,20.2763,5.22463,11.98,4.9658,3.27518,9999,9999,9999,953.5,1.86416,1.86014,1.85831,1.85988,1.85989,1.85823,1.8573,1.85235,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-0.512,0.0435,-0.258129653,-0.000608172,3.95E-08,-7.65E-11,0.005956959,-0.002774667,0.000771921,-5.59E-06,2,1990,1,24,5.4,5.5,1.11084,2.60254,1.49658,2.40601,1.54907,2.323,33.8283,24.2101,18,489.223,494.269,17.8592,25.9456,29.9995,26.2105,26.2034,22.3371,59.9214,0,17.862,420,9.32559,100.586,101.046,NA,5
13,1679621345,666.5999999,20230323 20:29:05,20:29:05,5,sor_nut32_t4_ch5,1679621342,0.000156672,0.156672006,-1.628401721,420.5579007,691.1221592,62.01451519,37.73673579,0.009124659,3.965283197,0.00911301,0.005696677,0,27.36814462,27.49982,3.685584258,59.8678203,2.193468587,3.663852427,1.492115671,-6.909235445,-21.59782441,-1.180757268,-29.68781712,-1.534337599,0.143344092,-1.628401721,430.4808625,431.1148182,0.000760615,67.05863679,0.156672006,24.38885215,24.44709879,2.13E-05,91.62720189,0,0,1,0,47254,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,0,0,0,1.91,0.5,0: Broadleaf,2,TRUE,1679621342,420.5579,419.9948,24.44516,24.39174,421.3195,24.16393,499.9896,89.63016,0.10001919,27.39879,27.49982,999.9,0,0,9995,0,0.30357,0.5631042,431.0961,430.4955,0.05340938,419.9948,24.39174,2.191023,2.186237,18.89683,18.86181,0,0,0,0,2.08336,0,-22.67987,-1.73245,34.1061,38.8497,36.2562,38.1935,34.6312,0,0,0,1679621327,0,2.126612,-0.288246156,3.279915383,-23.009192,15,1679621078,20:24:38,1679621078,1679621078,2,-0.249,-0.03,-0.761,0.284,420,25,0.55,0.2,0.588910976,-0.150072146,0.036716017,0,0.044625122,0.08276747,0.011414748,1,1,2,2-Jan,3.10473,2.73541,0.0881101,0.0879607,0.10916,0.110312,23506.8,23224.2,26315.8,25792,37622.2,35009.3,46046.5,42596.3,1.92192,1.94235,0.109177,0,25.7183,999.9,58.2,29.8,27.35,60.807,23.0649,1,-0.122449,-1.18318,20.2901,5.22373,11.9798,4.9657,3.27525,9999,9999,9999,953.6,1.86417,1.86015,1.85826,1.85987,1.85989,1.85823,1.8573,1.85236,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-0.762,0.2813,-0.506686578,-0.000608172,3.95E-08,-7.65E-11,-0.023570906,-0.002774667,0.000771921,-5.59E-06,2,1990,1,24,4.5,4.5,1.12793,2.61353,1.49658,2.40723,1.54907,2.41455,34.0998,24.2188,18,488.941,513.836,27.7785,25.7609,29.9999,25.8759,25.8281,22.6849,12.6178,41.0843,27.6777,420,24.2964,100.603,101.054,NA,5
14,1679621350,671.5999999,20230323 20:29:10,20:29:10,5,sor_nut32_t4_ch5,1679621348,0.000188972,0.188971968,-1.783820727,420.5883341,665.140893,59.68316353,37.73943624,0.011014098,3.96893624,0.010997146,0.006874737,0,27.36572457,27.49762222,3.685110316,59.86120324,2.193722654,3.664681856,1.491387662,-8.33366379,-20.32033016,-1.10990315,-29.7638971,-1.718246106,0.213474717,-1.783820727,430.4597286,431.1535939,0.000934073,67.05863679,0.188971968,24.37431574,24.44470727,3.50E-06,91.62720189,0,0,1,0,47305,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,0,0,0,1.91,0.5,0: Broadleaf,2,TRUE,1679621348,420.5883333,419.9663333,24.44801111,24.36846667,421.3498889,24.16671111,500.058,89.63018889,0.099918156,27.40265556,27.49762222,999.9,0,0,10007.55556,0,0.30357,0.621809111,431.1285556,430.4561111,0.079531556,419.9663333,24.36846667,2.191278889,2.184152222,18.8987,18.84654444,0,0,0,0,2.075455556,0,-22.42235556,-1.692433333,34.111,38.944,36.27066667,38.27066667,34.69433333,0,0,0,1679621332,0,2.120508,-1.024500012,4.941023074,-22.75634,15,1679621078,20:24:38,1679621078,1679621078,2,-0.249,-0.03,-0.761,0.284,420,25,0.55,0.2,0.5815055,0.078718019,0.045598951,1,0.05353989,0.146500102,0.017193836,1,2,2,2-Feb,3.1048,2.73528,0.0881163,0.0879484,0.109142,0.110175,23506.5,23224.3,26315.6,25791.8,37622.6,35014.7,46046.1,42596.3,1.92197,1.9425,0.108048,0,25.7254,999.9,58.3,29.8,27.3957,60.997,23.0048,1,-0.122591,-0.851631,20.2919,5.22388,11.98,4.9658,3.27513,9999,9999,9999,953.6,1.86417,1.86014,1.85831,1.85988,1.85989,1.85822,1.8573,1.85237,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-0.762,0.2811,-0.506686578,-0.000608172,3.95E-08,-7.65E-11,-0.023570906,-0.002774667,0.000771921,-5.59E-06,2,1990,1,24,4.5,4.5,1.12793,2.61108,1.49658,2.40723,1.54907,2.41089,34.0998,24.2188,18,488.944,513.906,27.7112,25.7572,29.9999,25.8727,25.8249,22.6838,12.6178,41.0843,27.6945,420,24.3033,100.602,101.054,NA,5
15,1679621355,676.5999999,20230323 20:29:15,20:29:15,5,sor_nut32_t4_ch5,1679621352,0.000202954,0.202953989,-1.692710742,420.6206007,635.6071082,57.03310989,37.74234213,0.011816758,3.961987985,0.011797213,0.007375011,0,27.36324054,27.50083,3.685802079,59.83193331,2.192690377,3.664749334,1.493111701,-8.950270914,-20.90276841,-1.143738495,-30.99677782,-1.690426512,0.214653377,-1.692710742,430.5032426,431.1657758,5.73E-05,67.05863679,0.202953989,24.35506984,24.43122,-7.76E-05,91.62720189,0,0,1,0,47279,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,0,0,0,1.91,0.5,0: Broadleaf,2,TRUE,1679621352,420.6206,420.0093,24.4365,24.3565,421.3825,24.15547,499.9616,89.63006,0.10007227,27.40297,27.50083,999.9,0,0,9983.687,0,0.30357,0.6114379,431.1569,430.4948,0.08001059,420.0093,24.3565,2.190244,2.183071,18.89112,18.83864,0,0,0,0,2.17111,0,-22.1765,-1.68394,34.1436,39.0497,36.3309,38.3809,34.7248,0,0,0,1679621337,0,2.087615385,0.636847848,3.277350437,-22.41028077,15,1679621078,20:24:38,1679621078,1679621078,2,-0.249,-0.03,-0.761,0.284,420,25,0.55,0.2,0.58863975,0.220895572,0.05079278,0,0.066108075,0.114805578,0.01488854,1,1,2,2-Jan,3.10488,2.73535,0.0881198,0.087959,0.109105,0.110206,23506.5,23223.9,26315.7,25791.6,37624.4,35013.3,46046.3,42596,1.9222,1.94245,0.108302,0,25.7313,999.9,58.4,29.8,27.44,61.157,22.9768,1,-0.122866,-1.06635,20.2907,5.22418,11.98,4.9658,3.27513,9999,9999,9999,953.6,1.86417,1.86015,1.8583,1.85986,1.85989,1.85822,1.8573,1.85237,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-0.762,0.2808,-0.506686578,-0.000608172,3.95E-08,-7.65E-11,-0.023570906,-0.002774667,0.000771921,-5.59E-06,2,1990,1,24,4.6,4.6,1.12793,2.60986,1.49658,2.40723,1.54907,2.41455,34.0998,24.2188,18,489.052,513.847,27.6818,25.7528,29.9998,25.87,25.8221,22.6839,12.6178,41.4813,27.6881,420,24.3033,100.602,101.053,NA,5
16,1679621360,681.5999999,20230323 20:29:20,20:29:20,5,sor_nut32_t4_ch5,1679621358,0.000142084,0.142083977,-1.539538107,420.6141117,703.5820039,63.13338546,37.74228547,0.008261678,3.968278844,0.008252134,0.00515844,0,27.37371689,27.50304444,3.686279693,59.81564549,2.19190336,3.664431508,1.494376333,-6.265903393,-21.72657711,-1.186934639,-29.17941515,-1.658054383,0.136320573,-1.539538107,430.5069136,431.1142485,-0.00094912,67.05863679,0.142083977,24.37528034,24.42844667,-3.33E-05,91.62720189,0,0,1,0,47337,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,0,0,0,1.91,0.5,0: Broadleaf,2,TRUE,1679621358,420.6141111,420.0026667,24.42738889,24.37658889,421.3756667,24.14662222,500.0237778,89.63148889,0.099892967,27.40148889,27.50304444,999.9,0,0,10005.15,0,0.30357,0.611375667,431.1458889,430.4967778,0.050810067,420.0026667,24.37658889,2.189464444,2.184908889,18.88541111,18.85211111,0,0,0,0,1.987244444,0,-21.85421111,-1.621877778,34.15255556,39.13166667,36.375,38.48577778,34.72888889,0,0,0,1679621342,0,2.050811538,-0.312078652,3.520803427,-22.14796538,15,1679621078,20:24:38,1679621078,1679621078,2,-0.249,-0.03,-0.761,0.284,420,25,0.55,0.2,0.600466805,0.120654627,0.043564176,0,0.065333473,0.001031329,0.015416756,1,1,2,2-Jan,3.10484,2.73534,0.0881121,0.0879506,0.109106,0.110263,23506.7,23224,26315.6,25791.4,37624.2,35010.8,46046.2,42595.8,1.9221,1.94267,0.108138,0,25.7367,999.9,58.4,29.8,27.4406,61.107,22.8886,1,-0.123176,-1.08536,20.2905,5.22343,11.98,4.9657,3.2751,9999,9999,9999,953.6,1.86417,1.86014,1.85832,1.85987,1.85989,1.85823,1.8573,1.85239,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-0.762,0.2809,-0.506686578,-0.000608172,3.95E-08,-7.65E-11,-0.023570906,-0.002774667,0.000771921,-5.59E-06,2,1990,1,24,4.7,4.7,1.12793,2.60986,1.49658,2.40723,1.54907,2.39868,34.0998,24.2188,18,488.972,513.979,27.6801,25.7495,29.9999,25.8672,25.82,22.6857,12.6178,41.8648,27.6848,420,24.3033,100.602,101.052,NA,5
17,1679621365,686.5999999,20230323 20:29:25,20:29:25,5,sor_nut32_t4_ch5,1679621362,0.000133941,0.133940983,-1.729136082,420.5642007,759.754317,68.17395023,37.73788742,0.007790939,3.967199346,0.007782449,0.004864793,0,27.37439288,27.50245,3.686151477,59.83237914,2.192399867,3.664236486,1.493751611,-5.906797348,-21.78792006,-1.190600785,-28.88531819,-1.639433488,0.113823992,-1.729136082,430.4373069,431.1133939,0.000204072,67.05863679,0.133940983,24.38736867,24.43706545,3.35E-05,91.62720189,0,0,1,0,47380,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,0,0,0,1.91,0.5,0: Broadleaf,2,TRUE,1679621362,420.5642,419.9562,24.43287,24.39045,421.3258,24.15195,499.9812,89.63153,0.10004335,27.40058,27.50245,999.9,0,0,10001.434,0,0.30357,0.6080322,431.0972,430.4551,0.04242515,419.9562,24.39045,2.189956,2.186153,18.88902,18.86122,0,0,0,0,2.04943,0,-21.69731,-1.61335,34.1684,39.2247,36.4123,38.5435,34.5747,0,0,0,1679621347,0,2.052169231,-0.509442754,3.133059839,-21.90563077,15,1679621078,20:24:38,1679621078,1679621078,2,-0.249,-0.03,-0.761,0.284,420,25,0.55,0.2,0.608092488,0.032657979,0.035879612,1,0.062331166,-0.129404362,0.018158185,1,2,2,2-Feb,3.10489,2.73543,0.088111,0.0879537,0.109135,0.11032,23506.7,23224.1,26315.6,25791.6,37623,35008.8,46046.3,42596.1,1.92208,1.94265,0.107367,0,25.7405,999.9,58.5,29.8,27.4905,60.817,22.8886,1,-0.123216,-1.10378,20.2904,5.22478,11.98,4.9658,3.27515,9999,9999,9999,953.6,1.86417,1.86016,1.85831,1.85987,1.85989,1.85822,1.8573,1.85237,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-0.761,0.2811,-0.506686578,-0.000608172,3.95E-08,-7.65E-11,-0.023570906,-0.002774667,0.000771921,-5.59E-06,2,1990,1,24,4.8,4.8,1.12793,2.60986,1.49658,2.40723,1.54907,2.40601,34.0998,24.2188,18,488.935,513.941,27.6795,25.7452,29.9999,25.8645,25.8178,22.6877,12.9044,41.8648,27.6833,420,24.3003,100.602,101.053,NA,5
18,1679621370,691.5999999,20230323 20:29:30,20:29:30,5,sor_nut32_t4_ch5,1679621368,0.000152835,0.152834564,-1.9389973,420.6268897,753.5696279,67.61915087,37.74360333,0.008896381,3.967275365,0.008885313,0.005554314,0,27.36950836,27.50222222,3.686102349,59.85859333,2.193207438,3.663980919,1.492894911,-6.740004266,-21.9943789,-1.201851185,-29.93623436,-1.731954421,0.164365733,-1.9389973,430.4701759,431.1894424,0.008308227,67.05863679,0.152834564,24.38389363,24.44067212,2.73E-05,91.62720189,0,0,1,0,47481,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,0,0,0,1.91,0.5,0: Broadleaf,2,TRUE,1679621368,420.6268889,419.9916667,24.44181111,24.38055556,421.3887778,24.16065556,499.9796667,89.63186667,0.099922367,27.39938889,27.50222222,999.9,0,0,10001.65778,0,0.30357,0.635294556,431.1655556,430.4871111,0.0612634,419.9916667,24.38055556,2.190764444,2.185273333,18.89492222,18.85475556,0,0,0,0,2.271688889,0,-21.49907778,-1.532077778,34.187,39.31222222,36.486,38.67344444,34.62466667,0,0,0,1679621352,0,2.07106,1.410061521,2.206738468,-21.635044,15,1679621078,20:24:38,1679621078,1679621078,2,-0.249,-0.03,-0.761,0.284,420,25,0.55,0.2,0.619311805,-0.040701387,0.027845632,1,0.060308168,-0.12939249,0.017707462,1,2,2,2-Feb,3.10481,2.7355,0.0881265,0.0879771,0.109139,0.110237,23506.5,23223.6,26315.7,25791.7,37622.7,35011.3,46046.1,42595.2,1.92202,1.94293,0.107177,0,25.7454,999.9,58.5,29.8,27.4925,60.647,22.8566,1,-0.123582,-1.11347,20.2902,5.22418,11.98,4.9658,3.2751,9999,9999,9999,953.6,1.86417,1.86016,1.85831,1.85987,1.85989,1.85822,1.8573,1.85238,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-0.761,0.2811,-0.506686578,-0.000608172,3.95E-08,-7.65E-11,-0.023570906,-0.002774667,0.000771921,-5.59E-06,2,1990,1,24,4.9,4.9,1.12793,2.60742,1.49658,2.40723,1.54907,2.39502,34.0998,24.2188,18,488.884,514.105,27.6801,25.7415,29.9998,25.8618,25.8157,22.6791,12.9044,42.2682,27.6813,420,24.3014,100.602,101.052,NA,5
19,1679621375,696.5999999,20230323 20:29:35,20:29:35,5,sor_nut32_t4_ch5,1679621372,0.000154205,0.154205155,-1.082800249,420.6456004,599.727122,53.81408759,37.74493158,0.008980988,3.976403105,0.008969734,0.005607094,0,27.37110717,27.49788,3.685165902,59.84839137,2.193064927,3.664367374,1.492100975,-6.800447318,-20.72800037,-1.130037436,-28.65848513,-1.659076878,0.151947919,-1.082800249,430.5693962,431.1217576,-0.026679592,67.05863679,0.154205155,24.38295499,24.44046545,-5.96E-06,91.62720189,0,0,1,0,47371,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,0,0,0,1.91,0.5,0: Broadleaf,2,TRUE,1679621372,420.6456,420.0362,24.44045,24.38382,421.4072,24.15932,499.9601,89.63119,0.09976533,27.40119,27.49788,999.9,0,0,10033.13,0,0.30357,0.6091462,431.1837,430.5344,0.05662518,420.0362,24.38382,2.190627,2.185551,18.89392,18.85678,0,0,0,0,2.15493,0,-21.2485,-1.51603,34.2311,39.3873,36.5186,38.7684,34.6248,0,0,0,1679621357,0,2.1376,0.627807689,2.313130773,-21.441672,15,1679621078,20:24:38,1679621078,1679621078,2,-0.249,-0.03,-0.761,0.284,420,25,0.55,0.2,0.611319,-0.001454904,0.027986117,1,0.05308313,0.022984717,0.010298945,1,2,2,2-Feb,3.10488,2.73563,0.0881139,0.0879456,0.109146,0.110299,23507,23224.2,26315.9,25791.5,37622.8,35009.5,46046.6,42596,1.9223,1.94255,0.106238,0,25.7488,999.9,58.5,29.8,27.4882,60.807,22.8566,1,-0.123844,-1.11382,20.2901,5.22373,11.98,4.96575,3.2751,9999,9999,9999,953.6,1.86417,1.86017,1.85833,1.85987,1.85989,1.85822,1.85731,1.85234,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-0.761,0.2811,-0.506686578,-0.000608172,3.95E-08,-7.65E-11,-0.023570906,-0.002774667,0.000771921,-5.59E-06,2,1990,1,24,5,5,1.12793,2.61108,1.49658,2.40723,1.54907,2.35107,34.0998,24.2188,18,489.021,513.83,27.6798,25.7376,29.9999,25.8591,25.813,22.6858,13.1838,42.6458,27.684,420,24.2975,100.603,101.053,NA,5
20,1679621380,701.5999999,20230323 20:29:40,20:29:40,5,sor_nut32_t4_ch5,1679621378,0.000138111,0.138111099,-2.099131169,420.6460009,821.4767936,73.71182448,37.74493014,0.00804449,3.963277207,0.00803543,0.005022957,0,27.37142776,27.49531111,3.684611991,59.85207884,2.192848897,3.663780673,1.491763094,-6.090699469,-20.69495229,-1.13194235,-27.91759411,-1.813176473,0.168086214,-2.099131169,430.4971473,431.2129333,0.022042634,67.05863679,0.138111099,24.38237834,24.43412,-4.22E-05,91.62720189,0,0,1,0,47167,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,0,0,0,1.91,0.5,0: Broadleaf,2,TRUE,1679621378,420.646,419.9804444,24.43806667,24.37543333,421.4077778,24.15704444,500.0515556,89.63061111,0.100255367,27.39845556,27.49531111,999.9,0,0,9988.055556,0,0.30357,0.665717222,431.1833333,430.4734444,0.062638811,419.9804444,24.37543333,2.190398889,2.184786667,18.89226667,18.85117778,0,0,0,0,2.040266667,0,-21.06031111,-1.484622222,34.25,39.472,36.54844444,38.86755556,34.72911111,0,0,0,1679621362,0,2.133932,-0.797823072,2.371669218,-21.247036,15,1679621078,20:24:38,1679621078,1679621078,2,-0.249,-0.03,-0.761,0.284,420,25,0.55,0.2,0.626315244,0.191716098,0.04082696,0,0.054598363,0.064542276,0.011014109,1,1,2,2-Jan,3.10494,2.73543,0.0881266,0.0879429,0.109122,0.110184,23506.9,23224.4,26316.2,25791.6,37623.7,35014.5,46046.4,42596.5,1.92238,1.94278,0.10724,0,25.7488,999.9,58.6,29.8,27.5369,60.967,22.8686,1,-0.124367,-1.12716,20.29,5.22388,11.98,4.96575,3.27505,9999,9999,9999,953.6,1.86417,1.86017,1.85832,1.85987,1.85989,1.85823,1.8573,1.85237,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-0.761,0.2809,-0.506686578,-0.000608172,3.95E-08,-7.65E-11,-0.023570906,-0.002774667,0.000771921,-5.59E-06,2,1990,1,24,5,5,1.12793,2.61719,1.49658,2.40723,1.54907,2.33276,34.0998,24.2188,18,489.038,513.955,27.682,25.7343,29.9997,25.8559,25.8103,22.6896,13.1838,43.0298,27.6867,420,24.2986,100.603,101.054,NA,5
