"obs","time","elapsed","date","hhmmss","averaging","id","machine","TIME","E","Emm","A","Ca","Ci","Pci","Pca","gsw","gbw","gtw","gtc","Rabs","TleafEB","TleafCnd","SVPleaf","RHcham","VPcham","SVPcham","VPDleaf","LatHFlux","SenHFlux","NetTherm","EBSum","Asty","Esty","Adyn","Crd","Csd","dCsd.dt","αVc","Edyn","Hr","Hs","dHs.dt","αVh","Leak","LeakPct","CorrFact","CorrFactPct","Fan","Qin","Qabs","alpha","convert","S","K","Geometry","Custom","UseDynamic","TIME.1","CO2_s","CO2_r","H2O_s","H2O_r","CO2_a","H2O_a","Flow","Pa","ΔPcham","Tair","Tleaf","Tleaf2","Offset","Offset2","Fan_speed","Qamb_in","Qamb_out","ΔCO2","CO2_s_d","CO2_r_d","ΔH2O","CO2_b","H2O_b","e_s","e_r","Td_s","Td_r","Q","f_red","f_blue","f_farred","F","Q_modavg","F_dc","Pc","Tled","TDigital","TPreamp","TPwrSpy","TDrive","Q_red","Q_blue","Q_farred","TSPF","state","time.1","hhmmss.1","co2_t","h2o_t","count","co2_adj","h2o_adj","co2_match","h2o_match","co2_at","h2o_at","co2_cv","h2o_cv","ΔCO2.MN","ΔCO2.SLP","ΔCO2.SD","ΔCO2.OK","ΔH2O.MN","ΔH2O.SLP","ΔH2O.SD","ΔH2O.OK","Stable","Total","State","Vflow","VPchamber","abs_c_a","abs_c_b","abs_h_a","abs_h_b","Wc_s","Wc_r","Wco_s","Wco_r","Ww_s","Ww_r","Wwo_s","Wwo_r","Flow_s_v","Flow_r_v","Tleaf_mv","Tleaf2_mv","Tleaf_j","Tleaf2_j","Console_RH","Console_T","Console_H2O","Fan_.","Flow_.","Pump","Tchp_pwm","Txchg_pwm","diag_20v","diag_5_4v","diag_12v","diag_5va","diag_3_3vf","AccH2O_des","AccCO2_soda","AccH2O_hum","CO2_hrs","ADC_CH1","ADC_CH2","ADC_CH3","ADC_CH4","ADC_CH5","ADC_CH6","ADC_CH7","ADC_CH8","DAC_1","DAC_2","DAC_3","DAC_4","GPIO","GPIO_dir","excit_5v","power_12v","power_5v","ch1_pullup","AuxPower","MatchValveR","MatchValveS","MatchCO2","MatchH2O","cf_co2_a","cf_co2_b","cf_co2_c","cf_co2_d","cf_h2o_a","cf_h2o_b","cf_h2o_c","cf_h2o_d","co2_fit_low","co2_fit_high","h2o_fit_low","h2o_fit_high","co2_elapsed","h2o_elapsed","CO2_f","CO2_f_s","Pump_f","Pump_f_s","Pump_p","Pump_p_s","Tboard","V_system","DIAG","Flow_s","Flow_r","Txchg","Tirga","Tchopper","Ts","Tr","CO2_.","Desiccant_.","Humidifier_.","Txchg_sp","CO2_r_sp","H2O_r_sp","SS_s","SS_r","NA.","chamber"
23,1677878972.1,339,"20230303 15:29:32","15:29:32",5,"pas_smi22_t3_ch4","gibson",1677878969.3,0.0046816465475524,4.6816465475524,-2.21372167577146,419.7110010522,422.662138370565,37.6928285709054,37.429647408147,0.133299912037835,3.83753561429666,0.130779999363808,0.081959936022487,0,35.2650042089725,34.84511,5.6001038189353,42.3034356593925,2.55360710165527,6.0364059368977,3.04649671728003,-206.460612747061,281.356925898426,17.2103589910084,92.1066721423731,-2.21372167577146,4.6816465475524,-1.97377888850062,431.082757909103,432.119975757576,-0.0329288848225899,67.4057187773093,4.68595300547792,26.6533165950093,28.6350478787879,0.000203891825097008,111.245031339109,0,0,1,0,45790,0,0,0,0,2.18,0.5,"0: Broadleaf",2,"False",1677878969.3,419.711,419.6026,28.63444,26.65296,419.128,28.36359,500.3203,89.07964,0.09993193,36.20505,34.84511,999.9,0,0,10016.372,0,0.222567,0.108294711,432.0835,431.0928,1.981453,419.6026,26.65296,2.550743,2.374237,21.35395,20.18913,0,0,0,0,-2.01,0,-12.65,-2.65,37.625,42.5186,40.125,41.437,39.062,0,0,0,1677878974.6,0,0,"--:--:--",1675439743,1675439745,0,-1.108,-0.214,-1.206,0.007,420,23,0.5,0.32,0.292483417317073,-0.750233494494773,0.125405117240611,0,1.9604712195122,0.171144459930317,0.017214376039091,0,0,2,"0/2",2.84919,2.71047,0.0896521,0.0896424,0.114321,0.1083,25887.7,22257.3,25451.9,23815,38502.1,35141.7,46055.9,42475.3,1.7563,1.8509,0.249445,0,30.8792,999.9,53.443,30.857,26.8477,53.728,43.133,1,0.108023,-6.66667,20.1296,5.2384,11.992,4.95765,3.304,9999,9999,9999,999.9,1.86843,1.86407,1.87166,1.86249,1.86196,1.86843,1.85852,1.86493,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,0.583,0.2709,0.250823915326127,0.0012351666142952,-1.27879068999008e-06,5.31614710521532e-10,0.270840331269528,0,0,0,1,2148,1,26,40653.8,40653.8,1.05957,2.38159,1.44775,2.30591,1.44409,2.42065,36.6469,24.1225,18,419.418,462.936,44.8167,28.773,30.0006,28.4907,28.4806,21.2501,0,100,160.415,419.656,27.9086,97.4424,99.8681,NA,4
24,1677878977.1,344,"20230303 15:29:37","15:29:37",5,"pas_smi22_t3_ch4","gibson",1677878974.6,0.00469350733151318,4.69350733151318,-2.76406977076408,420.034779102906,429.54371637483,38.306624450057,37.4586192875816,0.131734379043887,3.82909798555041,0.129267404742277,0.0810099278315909,0,35.3984233350029,34.9830777777778,5.64308043800058,41.9899459756535,2.55390447396539,6.08218089979489,3.08917596403519,-206.983673319731,280.679584453595,17.2298294899044,90.9257406237679,-2.76406977076408,4.69350733151318,-3.45345298873312,431.206335733553,432.463866666666,0.0618105520304766,67.4057187773093,4.69483403735094,26.6513184119995,28.6375266666667,8.4914111799212e-05,111.245031339109,0,0,1,0,45536,0,0,0,0,2.18,0.5,"0: Broadleaf",2,"False",1677878974.6,420.034777777778,419.689444444444,28.6377,26.6514,419.451777777778,28.3668777777778,500.369,89.0796444444444,0.100159588888889,36.3427333333333,34.9830777777778,999.9,0,0,9986.03,0,0.222567,0.345157222222222,432.418222222222,431.181222222222,1.98631888888889,419.689444444444,26.6514,2.55103888888889,2.37409777777778,21.3558444444444,20.1881777777778,0,0,0,0,-0.822222222222222,0,-15.3444444444444,-3.4,37.625,42.5,40.125,41.437,39.076,0,0,0,1677878979.4,0,0,"--:--:--",1675439743,1675439745,0,-1.108,-0.214,-1.206,0.007,420,23,0.5,0.32,0.284979807560976,-0.482681324738676,0.129401960571029,0,1.97070170731707,0.131923693379799,0.0132867803184748,0,0,2,"0/2",2.84896,2.71006,0.0896889,0.08963,0.114336,0.108298,25886.8,22257.3,25452.1,23814.7,38500.4,35141.3,46054.6,42474.7,1.75637,1.85113,0.250004,0,30.9805,999.9,53.443,30.867,26.8612,54.338,43.2492,1,0.108491,-6.66667,20.1297,5.23676,11.992,4.95745,3.304,9999,9999,9999,999.9,1.86844,1.86407,1.87166,1.86249,1.86197,1.86844,1.85852,1.86493,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,0.583,0.2708,0.250823915326127,0.0012351666142952,-1.27879068999008e-06,5.31614710521532e-10,0.270840331269528,0,0,0,1,2148,1,26,40653.9,40653.9,1.05957,2.40112,1.44775,2.30591,1.44409,2.23999,36.6706,24.1138,18,419.493,463.123,44.9303,28.7828,30.0005,28.4957,28.4861,21.2522,0,100,160.439,419.656,27.9086,97.441,99.8667,NA,4
25,1677879587,953.900000095367,"20230303 15:39:47","15:39:47",5,"pas_smi21_t3_ch4","gibson",1677879584.25,0.00206871425964755,2.06871425964755,-0.59800381231274,419.530300278924,415.939542686673,37.0848147296884,37.4049636128355,0.120374589769918,3.82773211479032,0.11831042323742,0.0741265233514704,0,27.3560871635878,27.55689,3.69790982239178,58.4852235204537,2.19039950619695,3.74521866267796,1.50751031619483,-91.2302988504569,44.8875781094107,2.54769447643494,-43.7950262646112,-0.59800381231274,2.06871425964755,-0.407512135126825,429.826518220887,430.064284848485,-0.0116504706538048,67.4206641049835,1.12868633355898,23.6860838787879,24.4816951515152,-0.0398718008658025,111.33,5,1,1,0,46816,0,0,0,0,2.18,0.5,"0: Broadleaf",2,"False",1677879584.25,419.5303,419.6479,24.5673,23.68802,418.9474,24.35714,500.2961,89.059,0.10014676,27.77441,27.55689,999.9,0,0,9983.435,0,0.222567,-0.11773069,430.0965,429.83,0.8792842,419.6479,23.68802,2.187941,2.109629,18.87425,18.29209,0,0,0,0,-0.06,0,-13.99,-2.45,37.25,42.125,39.812,41.062,38.25,0,0,0,1677879589.6,0,0,"--:--:--",1675439743,1675439745,0,-1.108,-0.214,-1.206,0.007,420,23,0.5,0.32,-0.1694358975,0.360040350844278,0.0440305227338462,0,1.063969325,-0.514060581613512,0.116201522043041,0,0,2,"0/2",2.84025,2.71012,0.0893658,0.0894081,0.10221,0.0995807,25834.7,22225,25396.8,23778.9,38961.9,35436.7,45968,42418.1,1.73795,1.83738,0.0152737,0,27.3144,999.9,53.156,30.897,26.7699,54.4181,43.6699,1,0.161529,1.17978,20.2423,5.23451,11.992,4.95735,3.304,9999,9999,9999,999.9,1.86844,1.86415,1.87178,1.86252,1.86201,1.86844,1.85853,1.86499,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,0.583,0.2059,0.250823915326127,0.0012351666142952,-1.27879068999008e-06,5.31614710521532e-10,-0.14422439741913,-0.0291841919520245,0.0024389889052535,-2.64182996948647e-05,1,2148,1,26,40664.1,40664,1.05835,2.40112,1.44775,2.30591,1.44409,2.30469,36.8366,24.1751,18,414.48,460.895,27.2925,29.7648,29.9999,29.2836,29.2944,21.2214,22.5672,100,27.1803,419.656,23.9303,97.2476,99.7277,NA,4
26,1677879592,958.900000095367,"20230303 15:39:52","15:39:52",5,"pas_smi21_t3_ch4","gibson",1677879589.5,0.00162954791090284,1.62954791090284,-0.61593422268536,419.599666952087,418.438380577032,37.306409886404,37.4099458609089,0.0932082424888103,3.82972682561307,0.0919660848332733,0.0575890267510924,0,27.463548386221,27.5778444444444,3.70244443107445,58.004779579634,2.17475251200554,3.74926433263979,1.52769191906891,-71.8630628708154,44.4021404711949,2.51932546188997,-24.9415969377305,-0.61593422268536,1.62954791090284,-0.56910646713594,429.815606117723,430.073157575757,-0.00073607462759406,67.4206641049835,1.0193881968304,23.6971158008658,24.3426163636364,-0.02677582683982,111.33,5,1,1,0,47087,0,0,0,0,2.18,0.5,"0: Broadleaf",2,"False",1677879589.5,419.599666666667,419.629222222222,24.3925888888889,23.6998,419.016666666667,24.1895444444444,500.262333333333,89.0563555555555,0.0999255555555556,27.7929,27.5778444444444,999.9,0,0,9990.90222222222,0,0.222567,-0.0292121049777778,430.090555555556,429.815444444444,0.692792222222222,419.629222222222,23.6998,2.17231555555556,2.11061888888889,18.7595666666667,18.2995333333333,0,0,0,0,2.47777777777778,0,-14.5888888888889,-2.58888888888889,37.208,42.125,39.812,41.0482222222222,38.208,0,0,0,1677879594.4,0,0,"--:--:--",1675439743,1675439745,0,-1.108,-0.214,-1.206,0.007,420,23,0.5,0.32,-0.129444867,0.499797973283303,0.0573759928654931,0,0.9890378,-1.84183154971858,0.180780854587288,0,0,2,"0/2",2.8406,2.71007,0.0893637,0.0894008,0.101832,0.0997696,25834.2,22224.7,25396.2,23778.4,38977.6,35428.8,45966.9,42417.5,1.73767,1.83755,0.0180304,0,27.2935,999.9,53.131,30.897,26.7572,53.9781,42.5601,1,0.161662,1.23314,20.2417,5.23346,11.992,4.9572,3.304,9999,9999,9999,999.9,1.86844,1.86414,1.87178,1.86253,1.86202,1.86844,1.85853,1.86497,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,0.583,0.2006,0.250823915326127,0.0012351666142952,-1.27879068999008e-06,5.31614710521532e-10,-0.14422439741913,-0.0291841919520245,0.0024389889052535,-2.64182996948647e-05,1,2148,1,26,40664.2,40664.1,1.05713,2.36694,1.44775,2.30713,1.44409,2.51587,36.8366,24.1838,18,414.351,461.024,27.2013,29.7616,30,29.2873,29.2968,21.2225,21.6731,100,27.1014,419.656,24.0893,97.2454,99.7261,NA,4
27,1677879597,963.900000095367,"20230303 15:39:57","15:39:57",5,"pas_smi21_t3_ch4","gibson",1677879594.2,0.00117046514349351,1.17046514349351,-0.299024095756926,419.563800138761,414.952270899838,36.996096627656,37.4072489294725,0.0662401370086704,3.83265862051807,0.0656106428690216,0.0410627106216118,0,27.559896313702,27.59075,3.70523964844264,57.7889458940349,2.16708922081986,3.75000648877306,1.53815042762277,-51.6175128280639,42.4699679650581,2.40804867530761,-6.73949618769821,-0.299024095756926,1.17046514349351,-0.240540527082357,429.879016723823,430.004709090909,-0.0038163722070055,67.4206641049835,0.926614473973296,23.8234962077922,24.2886448484849,-0.00898029437229208,111.33,5,1,1,0,46972,0,0,0,0,2.18,0.5,"0: Broadleaf",2,"False",1677879594.2,419.5638,419.6475,24.30631,23.80862,418.9808,24.10678,500.2298,89.05753,0.09994478,27.79629,27.59075,999.9,0,0,10001.313,0,0.222567,-0.08364570648,430.0158,429.8824,0.4976833,419.6475,23.80862,2.16466,2.120338,18.70312,18.37276,0,0,0,0,0.11,0,-12.19,-2.23,37.187,42.125,39.812,41.062,38.2059,0,0,0,1677879599.2,0,0,"--:--:--",1675439743,1675439745,0,-1.108,-0.214,-1.206,0.007,420,23,0.5,0.32,-0.10005416862,0.38859867545516,0.053474762296625,0,0.82461125,-2.27019332082552,0.218556291489601,0,0,2,"0/2",2.84034,2.71022,0.0893664,0.0894045,0.101703,0.100179,25833.6,22224.6,25395.7,23778.4,38982.9,35412.3,45966.4,42417.1,1.73752,1.83753,0.0187382,0,27.2743,999.9,53.131,30.917,26.7874,54.2881,43.5016,1,0.161677,1.2896,20.2411,5.23346,11.992,4.95745,3.304,9999,9999,9999,999.9,1.86844,1.86414,1.87179,1.86254,1.86202,1.86844,1.85853,1.86502,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,0.583,0.1987,0.250823915326127,0.0012351666142952,-1.27879068999008e-06,5.31614710521532e-10,-0.14422439741913,-0.0291841919520245,0.0024389889052535,-2.64182996948647e-05,1,2148,1,26,40664.2,40664.2,1.05835,2.39014,1.44775,2.30591,1.44409,2.39868,36.8604,24.1838,18,414.288,461.028,27.1097,29.7571,30.0001,29.2904,29.2993,21.2247,20.7712,100,27.0114,419.656,24.2107,97.2441,99.7253,NA,4
28,1677879602,968.900000095367,"20230303 15:40:02","15:40:02",5,"pas_smi21_t3_ch4","gibson",1677879599.5,0.000773061797517734,0.773061797517734,-0.254717895771914,419.539777895465,417.005742533124,37.1803411300228,37.406276386058,0.043569460995133,3.82938392473856,0.0432959282863397,0.0270843876577406,0,27.6431420373072,27.5899111111111,3.70505789735243,57.7356773394985,2.16548480911676,3.75068745861114,1.53957308823567,-34.0920252705321,43.2489279324631,2.45434056092645,11.6112432228575,-0.254717895771914,0.773061797517734,-0.25277915600923,429.830192781949,429.960684848485,-0.0036775686234196,67.4206641049835,0.788316170407881,23.9654216536797,24.2950303030303,0.000700958152958985,111.33,5,1,1,0,47234,0,0,0,0,2.18,0.5,"0: Broadleaf",2,"False",1677879599.5,419.539777777778,419.570111111111,24.2875555555556,23.9588777777778,418.957,24.0887888888889,500.290444444444,89.0602333333333,0.100028355555556,27.7994,27.5899111111111,999.9,0,0,9989.23444444444,0,0.223030666666667,-0.0302496622222222,429.983222222222,429.869666666667,0.328676222222222,419.570111111111,23.9588777777778,2.16305444444444,2.13378333333333,18.6912777777778,18.4736333333333,0,0,0,0,2.83333333333333,0,-15.9444444444444,-2.83333333333333,37.187,42.125,39.7982222222222,41.0482222222222,38.187,0,0,0,1677879604.6,0,0,"--:--:--",1675439743,1675439745,0,-1.108,-0.214,-1.206,0.007,420,23,0.5,0.32,-0.06778415262,0.295022502276923,0.0498791015044324,0,0.6390152,-2.23456917073171,0.215183174271851,0,0,2,"0/2",2.84073,2.71014,0.0893568,0.0894153,0.101735,0.100603,25833.2,22224.1,25395.1,23778,38980.6,35395.2,45965.5,42416.7,1.73773,1.83773,0.0212342,0,27.2563,999.9,53.131,30.917,26.7879,53.4881,42.8566,1,0.161834,1.35815,20.2407,5.23451,11.992,4.95755,3.304,9999,9999,9999,999.9,1.86844,1.86416,1.87177,1.86256,1.86203,1.86844,1.85853,1.86498,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,0.583,0.1992,0.250823915326127,0.0012351666142952,-1.27879068999008e-06,5.31614710521532e-10,-0.14422439741913,-0.0291841919520245,0.0024389889052535,-2.64182996948647e-05,1,2148,1,26,40664.3,40664.3,1.05835,2.39868,1.44775,2.30591,1.44409,2.26196,36.8366,24.1751,18,414.421,461.174,27.0163,29.7533,30.0002,29.2936,29.3018,21.223,20.2065,100,26.9201,419.656,24.2933,97.2419,99.7242,NA,4
29,1677879607,973.900000095367,"20230303 15:40:07","15:40:07",5,"pas_smi21_t3_ch4","gibson",1677879604.2,0.000566540742446976,0.566540742446976,-0.00571011369302452,419.56590000266,408.039883980204,36.3805510030924,37.4082025396951,0.0318765264949361,3.83215329915272,0.0317299497741153,0.0198443315987828,0,27.6857742259819,27.60246,3.70777751350451,57.8077353080635,2.16829001559419,3.75086483502448,1.53948749791033,-24.9844467419117,40.854961873291,2.31696385575467,18.187478987134,-0.00571011369302452,0.566540742446976,-0.38011025900569,430.038540965819,430.085412121212,0.0256116675226066,67.4206641049835,0.782936592581121,24.0911632987013,24.3430509090909,0.0102258614718575,111.33,5,1,1,0,46794,0,0,0,0,2.18,0.5,"0: Broadleaf",2,"False",1677879604.2,419.5659,419.667,24.31928,24.07839,418.9831,24.11923,500.2379,89.05921,0.10009141,27.80021,27.60246,999.9,0,0,9999.307,0,0.2325829,-0.10086982,430.0239,430.0212,0.2408929,419.667,24.07839,2.165857,2.144403,18.71198,18.5529,0,0,0,0,0.22,0,-16.21,-3.28,37.187,42.0872,39.75,41.031,38.187,0,0,0,1677879609.4,0,0,"--:--:--",1675439743,1675439745,0,-1.108,-0.214,-1.206,0.007,420,23,0.5,0.32,-0.06866688762,-0.149113745047655,0.0510818098206515,0,0.47261555,-1.94957094934334,0.189608849198679,0,0,2,"0/2",2.84068,2.71022,0.089368,0.0894067,0.101877,0.100889,25833.1,22223.9,25395.2,23777.6,38974.6,35383.4,45965.7,42416,1.73792,1.8377,0.0219792,0,27.2378,999.9,53.131,30.917,26.7896,54.5781,42.9167,1,0.161784,1.40495,20.2402,5.23496,11.992,4.95705,3.304,9999,9999,9999,999.9,1.86844,1.86416,1.87175,1.86254,1.86202,1.86844,1.85853,1.86495,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,0.583,0.2012,0.250823915326127,0.0012351666142952,-1.27879068999008e-06,5.31614710521532e-10,-0.14422439741913,-0.0291841919520245,0.0024389889052535,-2.64182996948647e-05,1,2148,1,26,40664.4,40664.4,1.05713,2.36816,1.44775,2.30591,1.44409,2.45605,36.8129,24.1838,18,414.55,461.173,26.9211,29.7481,30.0001,29.296,29.3037,21.2246,19.6608,100,26.8181,419.656,24.3427,97.2424,99.7225,NA,4
30,1677879612,978.900000095367,"20230303 15:40:12","15:40:12",5,"pas_smi21_t3_ch4","gibson",1677879609.5,0.00047172827957818,0.47172827957818,-0.213771561932712,419.654888987743,420.594017773692,37.4988003533917,37.4150706726016,0.02664338854188,3.83441954449137,0.0265409648788572,0.0165972724549685,0,27.7052242907354,27.5915555555556,3.70541418495788,57.9329746893185,2.17301872837936,3.75091860901803,1.53239545657852,-20.8032171293977,43.184064212219,2.44747418918803,24.8283212720093,-0.213771561932712,0.47172827957818,-0.369456118439626,430.01653624046,430.146133333333,0.00737763055407861,67.4206641049835,0.688802773819135,24.1765714112554,24.3925775757576,0.00969995670995612,111.33,5,1,1,0,47106,0,0,0,0,2.18,0.5,"0: Broadleaf",2,"False",1677879609.5,419.654888888889,419.648,24.3730111111111,24.1724555555556,419.071888888889,24.1707777777778,500.262,89.0569,0.0998610777777778,27.8004555555556,27.5915555555556,999.9,0,0,10007.7177777778,0,0.222567,0.00695798333333333,430.138666666667,430.043222222222,0.200548,419.648,24.1724555555556,2.17058444444444,2.15272555555556,18.7468666666667,18.6147666666667,0,0,0,0,0.988888888888889,0,-18.4777777777778,-3.33333333333333,37.187,42.083,39.75,41,38.187,0,0,0,1677879614.2,0,0,"--:--:--",1675439743,1675439745,0,-1.108,-0.214,-1.206,0.007,420,23,0.5,0.32,-0.05287938437,0.145920328340713,0.0580180305868506,0,0.340127475,-1.31093096060038,0.131542565738811,0,0,2,"0/2",2.8405,2.71032,0.089373,0.0894156,0.102017,0.101134,25832.8,22224,25395,23777.8,38967.8,35374.1,45964.9,42416.3,1.7375,1.83812,0.0226498,0,27.2194,999.9,53.131,30.917,26.7865,53.7181,43.3173,1,0.161811,1.48792,20.2394,5.23436,11.992,4.9565,3.304,9999,9999,9999,999.9,1.86844,1.86415,1.87176,1.86254,1.86202,1.86844,1.85852,1.86495,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,0.583,0.2033,0.250823915326127,0.0012351666142952,-1.27879068999008e-06,5.31614710521532e-10,-0.14422439741913,-0.0291841919520245,0.0024389889052535,-2.64182996948647e-05,1,2148,1,26,40664.5,40664.4,1.05835,2.39868,1.44897,2.30591,1.44409,2.30347,36.8366,24.1751,18,414.328,461.458,26.8215,29.7437,30.0002,29.2985,29.3056,21.2239,19.3658,100,26.7267,419.656,24.3765,97.2411,99.7234,NA,4
31,1677879617,983.900000095367,"20230303 15:40:17","15:40:17",5,"pas_smi21_t3_ch4","gibson",1677879614.2,0.000433735672803784,0.433735672803784,-0.145756999040384,419.645600067379,417.311210377645,37.2061194768679,37.4142461208256,0.024579239832689,3.83626230382485,0.0244920852806328,0.0153153579112694,0,27.7057880512761,27.5858,3.70416730912734,58.0726475637402,2.17734918377013,3.74935408512291,1.52681812535721,-19.1277431706469,42.9173371704235,2.43103247456316,26.2206264743397,-0.145756999040384,0.433735672803784,-0.187282822406907,430.086637785331,430.168127272727,0.000447901173939235,67.4206641049835,0.660813760207876,24.2426293073593,24.4439351515151,0.0100509610389592,111.33,5,1,1,0,47091,0,0,0,0,2.18,0.5,"0: Broadleaf",2,"False",1677879614.2,419.6456,419.6614,24.42158,24.23719,419.0626,24.21736,500.2723,89.05679,0.0999797,27.79331,27.5858,999.9,0,0,10014.36,0,0.222567,-0.015628068,430.1505,430.0851,0.1843727,419.6614,24.23719,2.174908,2.158485,18.77868,18.65748,0,0,0,0,2.23,0,-17.68,-3.16,37.1622,42.0683,39.75,41,38.187,0,0,0,1677879619.6,0,0,"--:--:--",1675439743,1675439745,0,-1.108,-0.214,-1.206,0.007,420,23,0.5,0.32,-0.04161305775,0.201826819924953,0.055817198872314,0,0.252619,-0.70233894934334,0.0730183245969804,0,0,2,"0/2",2.84083,2.71023,0.0893757,0.089412,0.102164,0.101285,25832.6,22223.9,25394.9,23777.7,38961.1,35367.9,45964.6,42416.2,1.73743,1.83808,0.0233948,0,27.2015,999.9,53.131,30.917,26.7862,53.6681,42.6402,1,0.161723,1.50111,20.2394,5.23511,11.992,4.95625,3.304,9999,9999,9999,999.9,1.86844,1.86413,1.87178,1.86255,1.86202,1.86845,1.85853,1.86497,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,0.583,0.2054,0.250823915326127,0.0012351666142952,-1.27879068999008e-06,5.31614710521532e-10,-0.14422439741913,-0.0291841919520245,0.0024389889052535,-2.64182996948647e-05,1,2148,1,26,40664.6,40664.5,1.05713,2.36328,1.44775,2.30591,1.44409,2.49756,36.8366,24.1838,18,414.298,461.437,26.7231,29.7385,30.0001,29.3004,29.3069,21.2237,19.0719,100,26.6416,419.656,24.3943,97.2405,99.7229,NA,4
32,1677879622,988.900000095367,"20230303 15:40:22","15:40:22",5,"pas_smi21_t3_ch4","gibson",1677879619.5,0.00041051457443603,0.41051457443603,-0.210767053259384,419.632777875836,422.2429319511,37.6470424524428,37.4143219642043,0.0233402202187725,3.82934851539701,0.0232614744107607,0.0145454742481886,0,27.705099777969,27.5825,3.70345256671698,58.2120608414116,2.18190961500818,3.74820884790937,1.52154295170881,-18.1036927326289,42.4410875908101,2.40829348627325,26.7456883444544,-0.210767053259384,0.41051457443603,0.159103601206992,430.070535848144,430.110054545454,-0.0230505545713583,67.4206641049835,0.609843360719848,24.3026848917749,24.4901515151515,0.00906084848485005,111.33,5,1,1,0,46908,0,0,0,0,2.18,0.5,"0: Broadleaf",2,"False",1677879619.5,419.632777777778,419.616,24.4719333333333,24.2974222222222,419.049777777778,24.2656777777778,500.266888888889,89.0596333333333,0.100041355555556,27.7880777777778,27.5825,999.9,0,0,9989.17444444444,0,0.222567,0.0166761580444444,430.159444444444,430.065444444444,0.174515888888889,419.616,24.2974222222222,2.17946111111111,2.16391888888889,18.8121222222222,18.6976666666667,0,0,0,0,-1.67777777777778,0,-15.0777777777778,-2.94444444444444,37.125,42.062,39.75,41,38.187,0,0,0,1677879624.4,0,0,"--:--:--",1675439743,1675439745,0,-1.108,-0.214,-1.206,0.007,420,23,0.5,0.32,-0.02491688594,0.389463860875047,0.0565471985000134,0,0.2004762,-0.25673824390244,0.0266131130227187,0,0,2,"0/2",2.84064,2.71006,0.0893673,0.0894061,0.102298,0.101428,25832.6,22224.1,25394.7,23777.7,38955.3,35362.3,45964.7,42416.1,1.7375,1.83808,0.0239164,0,27.1853,999.9,53.131,30.917,26.7873,53.9481,43.6058,1,0.161507,1.51274,20.2392,5.23511,11.992,4.9561,3.304,9999,9999,9999,999.9,1.86844,1.86415,1.87177,1.86258,1.86203,1.86844,1.85852,1.86497,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,0.583,0.2072,0.250823915326127,0.0012351666142952,-1.27879068999008e-06,5.31614710521532e-10,-0.14422439741913,-0.0291841919520245,0.0024389889052535,-2.64182996948647e-05,1,2148,1,26,40664.7,40664.6,1.05835,2.39746,1.44897,2.30713,1.44409,2.33765,36.8366,24.1751,18,414.345,461.456,26.6353,29.7334,29.9999,29.3011,29.3093,21.2268,19.0719,100,26.5597,419.656,24.4032,97.2402,99.7228,NA,4
