"obs","time","elapsed","date","hhmmss","averaging","id","machine","TIME","E","Emm","A","Ca","Ci","Pci","Pca","gsw","gbw","gtw","gtc","Rabs","TleafEB","TleafCnd","SVPleaf","RHcham","VPcham","SVPcham","VPDleaf","LatHFlux","SenHFlux","NetTherm","EBSum","Asty","Esty","Adyn","Crd","Csd","dCsd.dt","αVc","Edyn","Hr","Hs","dHs.dt","αVh","Leak","LeakPct","CorrFact","CorrFactPct","Fan","Qin","Qabs","alpha","convert","S","K","Geometry","Custom","UseDynamic","TIME.1","CO2_s","CO2_r","H2O_s","H2O_r","CO2_a","H2O_a","Flow","Pa","ΔPcham","Tair","Tleaf","Tleaf2","Offset","Offset2","Fan_speed","Qamb_in","Qamb_out","ΔCO2","CO2_s_d","CO2_r_d","ΔH2O","CO2_b","H2O_b","e_s","e_r","Td_s","Td_r","Q","f_red","f_blue","f_farred","F","Q_modavg","F_dc","Pc","Tled","TDigital","TPreamp","TPwrSpy","TDrive","Q_red","Q_blue","Q_farred","TSPF","state","time.1","hhmmss.1","co2_t","h2o_t","count","co2_adj","h2o_adj","co2_match","h2o_match","co2_at","h2o_at","co2_cv","h2o_cv","ΔCO2.MN","ΔCO2.SLP","ΔCO2.SD","ΔCO2.OK","ΔH2O.MN","ΔH2O.SLP","ΔH2O.SD","ΔH2O.OK","Stable","Total","State","Vflow","VPchamber","abs_c_a","abs_c_b","abs_h_a","abs_h_b","Wc_s","Wc_r","Wco_s","Wco_r","Ww_s","Ww_r","Wwo_s","Wwo_r","Flow_s_v","Flow_r_v","Tleaf_mv","Tleaf2_mv","Tleaf_j","Tleaf2_j","Console_RH","Console_T","Console_H2O","Fan_.","Flow_.","Pump","Tchp_pwm","Txchg_pwm","diag_20v","diag_5_4v","diag_12v","diag_5va","diag_3_3vf","AccH2O_des","AccH2O_hum","AccCO2_soda","CO2_hrs","ADC_CH1","ADC_CH2","ADC_CH3","ADC_CH4","ADC_CH5","ADC_CH6","ADC_CH7","ADC_CH8","DAC_1","DAC_2","DAC_3","DAC_4","GPIO","GPIO_dir","excit_5v","power_12v","power_5v","ch1_pullup","AuxPower","MatchValveR","MatchValveS","MatchCO2","MatchH2O","cf_co2_a","cf_co2_b","cf_co2_c","cf_co2_d","cf_h2o_a","cf_h2o_b","cf_h2o_c","cf_h2o_d","co2_fit_low","co2_fit_high","h2o_fit_low","h2o_fit_high","co2_elapsed","h2o_elapsed","CO2_f","CO2_f_s","Pump_f","Pump_f_s","Pump_p","Pump_p_s","Tboard","V_system","DIAG","Flow_s","Flow_r","Txchg","Tirga","Tchopper","Ts","Tr","CO2_.","Desiccant_.","Humidifier_.","Txchg_sp","CO2_r_sp","H2O_r_sp","SS_s","SS_r","NA.","chamber"
22,1677797117.6,241,"20230302 16:45:17","16:45:17",5,"pas_smi17_t1_ch4","gibson",1677797115.1,0.000584591095489524,0.584591095489524,0.83902365286015,419.63377724179,343.724506717038,30.5517273153633,37.2988730336916,0.0224556498639275,3.52259239333472,0.0223764255062332,0.0139923605279418,0,32.599815297024,32.6077777777778,4.94182921660747,54.6666146502962,2.7197789569827,4.97521014312154,2.22205025962476,-25.780467311088,22.6984653548263,1.47093434202794,-1.61106761423381,0.467734993538831,0.486782651838606,0.83902365286015,433.170763407591,432.796775757576,-0.0293902864335141,67.2407904818122,0.584591095489524,30.3197198138933,30.6106006060606,0.00591961883669707,107.429971021725,10,2,1,0,46253,0,0,0,0,2.96,0.5,"0: Broadleaf",2,"True",1677797115.1,419.633777777778,420.031333333333,30.5990777777778,30.3199111111111,420.159111111111,30.1576666666667,500.341666666667,88.7845,0.0998440555555556,32.7273,32.6077777777778,999.9,0,0,10017.7622222222,0,0.278209,-0.397806888888889,432.879333333333,433.165,0.279192555555556,420.031333333333,30.3199111111111,2.71672555555556,2.69193666666667,22.3866444444444,22.2359888888889,0,0,0,0,2.22222222222222,0,-19.2555555555556,-3.04444444444444,36.937,41.7775555555556,39.437,40.75,38.125,0,0,0,1677797117.8,0,0,"--:--:--",1675439743,1675439745,0,-1.108,-0.214,-1.206,0.007,420,23,0.5,0.32,-0.34600525,-0.131363819887429,0.0677907918727721,0,0.2463854,0.27808192120075,0.0271622659021666,0,0,2,"0/2",2.84018,2.71039,0.0893068,0.0892418,0.118706,0.117675,26020.8,22216.9,25577.4,23765.2,38517.5,34701.5,46302.9,42390.3,1.7384,1.82215,0.203699,0,29.3894,999.9,55.726,32.327,30.5302,54.0095,44.1066,1,0.181692,-6.66667,20.1247,5.23481,11.992,4.95575,3.30395,9999,9999,9999,999.9,1.86874,1.86447,1.87197,1.86295,1.86234,1.86874,1.85885,1.86523,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,-0.525,0.4422,-0.313142003518622,-0.000573800699069266,1.31796767940654e-07,7.45644886919251e-11,-0.171698093289274,-0.0330247527990624,0.00253311971247735,-2.53302209654789e-05,2,2122,1,28,39289.6,39289.5,1.05713,2.40356,1.44775,2.30469,1.44409,2.27051,39.9942,23.8423,18,415.45,452.118,42.1402,29.7771,29.9999,29.3913,29.3951,21.2145,0,100,117.48,420.012,31.7189,97.9502,99.6651,NA,4
23,1677797122.6,246,"20230302 16:45:22","16:45:22",5,"pas_smi17_t1_ch4","gibson",1677797119.8,0.000549507015958912,0.549507015958912,0.373067451217281,419.586499759597,373.707840732478,33.2175160519931,37.2955013832353,0.0206693808514356,3.52259053932984,0.0206022388568876,0.0128824134501921,0,32.7852489333995,32.77875,4.98963972806821,54.1604950650855,2.72168500590163,5.02522180166732,2.26795472216658,-24.233259403788,23.9894187140715,1.55725515907267,1.31341446935613,0.583054439911545,0.513912690185284,0.373067451217281,433.188795000536,432.856406060606,0.0223449405327228,67.2407904818122,0.549507015958912,30.3245921772675,30.6281636363636,0.00154279323143125,107.429971021725,10,2,1,0,45854,0,0,0,0,2.96,0.5,"0: Broadleaf",2,"True",1677797119.8,419.5865,420.059,30.61984,30.32512,420.1121,30.17741,500.3404,88.78627,0.10005357,32.90507,32.77875,999.9,0,0,10017.555,0,0.278209,-0.4726073,432.8401,433.1958,0.2947195,420.059,30.32512,2.71862,2.692454,22.39812,22.23912,0,0,0,0,2.03,0,-18.9,-2.79,36.906,41.7748,39.437,40.75,38.1436,0,0,0,1677797122.6,0,0,"--:--:--",1675439743,1675439745,0,-1.108,-0.214,-1.206,0.007,420,23,0.5,0.32,-0.370536,-0.513458499061913,0.0823571320202446,0,0.264318575,0.230120701688555,0.0223075104795308,0,0,2,"0/2",2.8405,2.71023,0.0893146,0.089253,0.118745,0.117691,26020.6,22216.6,25577.5,23765.2,38515.4,34700.8,46302.6,42390.2,1.73873,1.82202,0.208989,0,29.4813,999.9,55.701,32.327,30.517,54.7395,44.2388,1,0.18109,-6.66667,20.1246,5.23481,11.992,4.95585,3.304,9999,9999,9999,999.9,1.86874,1.86447,1.87195,1.86295,1.86234,1.86874,1.85888,1.86523,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,-0.525,0.4429,-0.313142003518622,-0.000573800699069266,1.31796767940654e-07,7.45644886919251e-11,-0.171698093289274,-0.0330247527990624,0.00253311971247735,-2.53302209654789e-05,2,2122,1,28,39289.7,39289.6,1.05713,2.37183,1.44775,2.30591,1.44409,2.45972,39.9942,23.8511,18,415.632,452.052,42.3148,29.7746,29.9999,29.3913,29.3967,21.2118,0,100,119.11,420.012,31.7189,97.9499,99.665,NA,4
24,1677797127.6,251,"20230302 16:45:27","16:45:27",5,"pas_smi17_t1_ch4","gibson",1677797125.1,0.000554907084250578,0.554907084250578,0.46689033569639,419.645555255534,365.841600415273,32.5180964856131,37.3005001073368,0.0204212867196389,3.51965514269093,0.020355689627596,0.0127281819963673,0,32.9830877915819,32.9587555555555,5.04041078590171,53.5869800370181,2.72315744019397,5.08175201945099,2.31725334570774,-24.4714024154505,27.5919979785176,1.79594278152379,4.91653834459096,0.510715955368458,0.533850137236837,0.46689033569639,433.244654154398,432.937878787879,0.0046794435665693,67.2407904818122,0.554907084250578,30.3294426290846,30.6425666666667,0.00068036562824415,107.429971021725,10,2,1,0,46037,0,0,0,0,2.96,0.5,"0: Broadleaf",2,"True",1677797125.1,419.645555555556,420.080222222222,30.6366111111111,30.3304666666667,420.170888888889,30.1933666666667,500.347,88.7858888888889,0.0998377444444444,33.1041666666667,32.9587555555555,999.9,0,0,10005.7055555556,0,0.278209,-0.434885555555556,432.908222222222,433.22,0.306150888888889,420.080222222222,30.3304666666667,2.72009888888889,2.69291666666667,22.4070333333333,22.2419555555556,0,0,0,0,1.76666666666667,0,-18.5888888888889,-3,36.8887777777778,41.7568888888889,39.437,40.736,38.1732222222222,0,0,0,1677797128,0,0,"--:--:--",1675439743,1675439745,0,-1.108,-0.214,-1.206,0.007,420,23,0.5,0.32,-0.398110125,-0.742103020637899,0.0862602020114686,0,0.2814929,0.194956750469043,0.0189913968335665,0,0,2,"0/2",2.84042,2.71032,0.089319,0.089236,0.118785,0.117704,26020.9,22216.9,25577.8,23765.1,38513.8,34700.4,46302.8,42390.3,1.7388,1.82227,0.21404,0,29.5742,999.9,55.701,32.327,30.5128,54.4195,43.7019,1,0.181133,-6.66667,20.125,5.23496,11.992,4.9558,3.304,9999,9999,9999,999.9,1.86874,1.86447,1.87195,1.86295,1.86234,1.86874,1.85886,1.86522,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,-0.526,0.4437,-0.313142003518622,-0.000573800699069266,1.31796767940654e-07,7.45644886919251e-11,-0.171698093289274,-0.0330247527990624,0.00253311971247735,-2.53302209654789e-05,2,2122,1,28,39289.7,39289.7,1.05713,2.40479,1.44897,2.30469,1.44409,2.30835,39.9942,23.8336,18,415.691,452.215,42.4833,29.7719,29.9999,29.3938,29.3976,21.213,0,100,120.615,420.012,31.7189,97.9505,99.6649,NA,4
25,1677797735.1,858.5,"20230302 16:55:35","16:55:35",5,"pas_smi17_t1_ch4","gibson",1677797732.35,-0.00158391756699534,-1.58391756699534,0.163870258323403,420.356999894903,407.911222378056,36.2487313330767,37.3547162157905,-0.0627247432316201,3.52119003295091,-0.0633522018348321,-0.0395382317200795,0,32.7694746297241,31.98739,4.77167615113925,54.0314731427171,2.64259666428533,4.89084696488888,2.12907948685392,69.8507647044944,82.8589176272011,5.34735286624517,158.057035197941,0.0664600527053467,-1.57155616286958,0.163870258323403,433.286394936658,433.19723030303,-0.0023096928480591,67.2385821346371,-1.58391756699534,30.6386718303537,29.7306551515151,-0.000155351615355977,107.407246362273,14,3,1,0,46087,0,0,0,0,2.96,0.5,"0: Broadleaf",2,"True",1677797732.35,420.357,420.0055,29.73745,30.63953,420.883,29.33738,500.3407,88.76433,0.09993591,32.42387,31.98739,999.9,0,0,10014.355,0,0.278209,0.3517548,433.2407,433.281,-0.9021028,420.0055,30.63953,2.639625,2.719698,21.91402,22.40462,0,0,0,0,-0.5,0,-16.34,-3.58,37.062,41.625,39.3998,40.8372,38.562,0,0,0,1677797735.2,0,0,"--:--:--",1675439743,1675439745,0,-1.108,-0.214,-1.206,0.007,420,23,0.5,0.32,0.341807317073171,0.0634948222996515,0.0346389195829644,1,-0.889364073170732,-0.0911875609756085,0.00921047359654729,1,2,2,"2/2",2.83857,2.71029,0.0893578,0.089173,0.116319,0.118442,26009.1,22214.4,25568.3,23761.5,38608.7,34666,46285.2,42384,1.72962,1.82085,0.0457428,0,31.1399,999.9,55.121,32.69,30.8327,57.7295,44.7035,1,0.20671,9.28105,20.0069,5.2402,11.998,4.9575,3.30395,9999,9999,9999,999.9,1.86874,1.86446,1.87195,1.86294,1.86229,1.86874,1.85885,1.86517,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,-0.525,0.3997,-0.313142003518622,-0.000573800699069266,1.31796767940654e-07,7.45644886919251e-11,-0.171698093289274,-0.0330247527990624,0.00253311971247735,-2.53302209654789e-05,2,2122,1,28,39299.9,39299.8,1.05835,2.40356,1.44897,2.30469,1.44409,2.31201,40.2474,23.7373,18,411.767,452.707,24.8429,29.969,30.0005,29.5768,29.5762,21.2318,0,100,22.4253,420.012,31.7189,97.9137,99.65,NA,4
26,1677797740.1,863.5,"20230302 16:55:40","16:55:40",5,"pas_smi17_t1_ch4","gibson",1677797737.6,-0.00161847012720511,-1.61847012720511,0.168531244004175,420.363555447886,408.253430546691,36.2784082787862,37.3545438911296,-0.0657368645734394,3.51944469538885,-0.0664267367755786,-0.0414541286283313,0,32.5493785961131,31.7826111111111,4.7166427349951,54.7015902440878,2.6411673752206,4.82831918310831,2.0754753597745,71.3745326097453,78.4407492451035,5.05397252025651,154.869254375105,0.0916571525051408,-1.60403561644752,0.168531244004175,433.295891360978,433.198824242424,-0.00123104383154737,67.2385821346371,-1.61847012720511,30.643000254204,29.7151327272727,-0.000151286678475032,107.407246362273,14,3,1,0,46297,0,0,0,0,2.96,0.5,"0: Broadleaf",2,"True",1677797737.6,420.363555555556,420.018888888889,29.7219666666667,30.6426777777778,420.888888888889,29.3226555555556,500.355333333333,88.7624555555555,0.100014577777778,32.1960222222222,31.7826111111111,999.9,0,0,10007.4944444444,0,0.278209,0.344658777777778,433.240222222222,433.296111111111,-0.920696111111111,420.018888888889,30.6426777777778,2.63819666666667,2.71992,21.9051666666667,22.4059666666667,0,0,0,0,3.34444444444444,0,-20.1555555555556,-3.35555555555556,37.062,41.6387777777778,39.4025555555556,40.826,38.562,0,0,0,1677797740.6,0,0,"--:--:--",1675439743,1675439745,0,-1.108,-0.214,-1.206,0.007,420,23,0.5,0.32,0.348982707317073,-0.0280748362369342,0.0314212033888287,1,-0.897147073170732,-0.127151331010451,0.0128680519559484,0,1,2,"1/2",2.83897,2.7104,0.0893626,0.0891764,0.11628,0.118443,26008.7,22214,25568.2,23761.2,38610.2,34665.6,46285,42383.6,1.7293,1.82043,0.0385307,0,31.0615,999.9,55.097,32.69,30.8168,57.4695,43.4295,1,0.207429,9.28105,20.0077,5.2399,11.9978,4.9575,3.30395,9999,9999,9999,999.9,1.86874,1.86444,1.87196,1.86295,1.8623,1.86872,1.85884,1.86515,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,-0.526,0.399,-0.313142003518622,-0.000573800699069266,1.31796767940654e-07,7.45644886919251e-11,-0.171698093289274,-0.0330247527990624,0.00253311971247735,-2.53302209654789e-05,2,2122,1,28,39300,39299.9,1.05713,2.36816,1.44775,2.30469,1.44409,2.52075,40.2728,23.746,18,411.611,452.466,24.5423,29.98,30.0007,29.5806,29.5795,21.2313,0,100,22.4216,420.012,31.7189,97.9131,99.6491,NA,4
27,1677797745.1,868.5,"20230302 16:55:45","16:55:45",5,"pas_smi17_t1_ch4","gibson",1677797742.3,-0.00164707191495157,-1.64707191495157,0.0810439606654339,420.344599948244,406.444603886394,36.1174525490974,37.3526330469958,-0.068409059286607,3.52410552580704,-0.0691555024267806,-0.0431544494887675,0,32.3508478208529,31.60459,4.66925021628689,55.3104500981078,2.63987205037145,4.7728269173166,2.02937816591543,72.6358714493643,73.5381398351548,4.72293501930595,150.896946303825,0.0626013940028764,-1.63155866023995,0.0810439606654339,433.251470653993,433.20336969697,-0.000289479570452216,67.2385821346371,-1.64707191495157,30.6445748101706,29.7000721212121,-0.000130443762060911,107.407246362273,14,3,1,0,46228,0,0,0,0,2.96,0.5,"0: Broadleaf",2,"True",1677797742.3,420.3446,419.9759,29.70757,30.64414,420.8702,29.30891,500.3303,88.76205,0.0998815,31.99165,31.60459,999.9,0,0,10026.43,0,0.278209,0.3685547,433.2141,433.2527,-0.9365767,419.9759,30.64414,2.636903,2.720037,21.89711,22.40667,0,0,0,0,0.81,0,-18.24,-3.3,37.062,41.6498,39.4122,40.8561,38.562,0,0,0,1677797745.4,0,0,"--:--:--",1675439743,1675439745,0,-1.108,-0.214,-1.206,0.007,420,23,0.5,0.32,0.350402829268293,0.0728023693379791,0.0299932047246335,1,-0.909514829268293,-0.168246794425089,0.0168695694422227,0,1,2,"1/2",2.83823,2.71032,0.0893617,0.0891705,0.116234,0.118442,26008.4,22213.8,25567.8,23760.9,38611.5,34665.5,46284,42383.4,1.72905,1.82052,0.0320859,0,30.9781,999.9,55.097,32.69,30.8168,57.2995,44.7917,1,0.207838,9.28105,20.0085,5.2399,11.998,4.95715,3.30398,9999,9999,9999,999.9,1.86874,1.86444,1.87195,1.86295,1.8623,1.86873,1.85883,1.86519,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,-0.525,0.3982,-0.313142003518622,-0.000573800699069266,1.31796767940654e-07,7.45644886919251e-11,-0.171698093289274,-0.0330247527990624,0.00253311971247735,-2.53302209654789e-05,2,2122,1,28,39300,39300,1.05835,2.39868,1.44775,2.30469,1.44409,2.34253,40.2728,23.7373,18,411.492,452.563,24.264,29.9906,30.0005,29.5838,29.5838,21.2331,0,100,22.4184,420.012,31.7189,97.9114,99.6484,NA,4
28,1677797750.1,873.5,"20230302 16:55:50","16:55:50",5,"pas_smi17_t1_ch4","gibson",1677797747.6,-0.00168296345874223,-1.68296345874223,0.187326231514727,420.30533321415,409.016801555835,36.3458777557928,37.3489944740666,-0.0716605126004752,3.52250348785488,-0.0724804351680279,-0.0452258281333865,0,32.1476503094211,31.4073666666667,4.61723035572624,55.9394643086253,2.63813729009606,4.71605747874366,1.97909306563018,74.2186885305324,70.8451928872232,4.5429076356832,149.606789053439,0.170535478908714,-1.66626682688738,0.187326231514727,433.265207387137,433.154333333333,-0.000734462533644137,67.2385821346371,-1.68296345874223,30.6439495398316,29.6788806060606,-0.000140825280102197,107.407246362273,14,3,1,0,46431,0,0,0,0,2.96,0.5,"0: Broadleaf",2,"True",1677797747.6,420.305333333333,419.991888888889,29.6881666666667,30.6447,420.831111111111,29.2904666666667,500.319555555556,88.7615777777778,0.0999986111111111,31.7804222222222,31.4073666666667,999.9,0,0,10019.9888888889,0,0.278209,0.313337444444444,433.165222222222,433.269222222222,-0.956540333333333,419.991888888889,30.6447,2.63516888888889,2.72007222222222,21.8863444444444,22.4068777777778,0,0,0,0,-0.0999999999999998,0,-18.9,-3.74444444444444,37.062,41.625,39.3887777777778,40.833,38.562,0,0,0,1677797750.2,0,0,"--:--:--",1675439743,1675439745,0,-1.108,-0.214,-1.206,0.007,420,23,0.5,0.32,0.346388682926829,0.0208833031358889,0.0351514676371529,1,-0.924188853658536,-0.204404696864113,0.0201981138778473,0,1,2,"1/2",2.8385,2.71046,0.0893533,0.0891779,0.116175,0.118449,26007.7,22213,25567.1,23760.2,38613.5,34664.3,46283.3,42382.4,1.72895,1.82023,0.025779,0,30.8938,999.9,55.097,32.69,30.8167,56.9795,43.77,1,0.208382,9.28105,20.009,5.2384,11.9977,4.9569,3.30373,9999,9999,9999,999.9,1.86874,1.86443,1.87195,1.86295,1.86232,1.86874,1.85884,1.86517,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,-0.526,0.3972,-0.313142003518622,-0.000573800699069266,1.31796767940654e-07,7.45644886919251e-11,-0.171698093289274,-0.0330247527990624,0.00253311971247735,-2.53302209654789e-05,2,2122,1,28,39300.1,39300.1,1.05835,2.40234,1.44775,2.30469,1.44409,2.29126,40.2982,23.7373,18,411.46,452.402,24.0052,30.0027,30.0007,29.5874,29.5874,21.2334,0,100,22.4102,420.012,31.7189,97.9093,99.6457,NA,4
29,1677797755.1,878.5,"20230302 16:55:55","16:55:55",5,"pas_smi17_t1_ch4","gibson",1677797752.3,-0.00179698029582994,-1.79698029582994,0.278268890250797,420.281499822332,410.796369963862,36.5043674207387,37.3472391954271,-0.0781851789158808,3.52375743434297,-0.0791619544085495,-0.04938745118855,0,31.9723423814622,31.23253,4.57153798120285,56.5358098295239,2.63616379462567,4.66282132081359,1.93537418657718,79.2468310461005,66.0706438682351,4.22741931714189,149.544894231477,0.252002465788106,-1.70847832661798,0.278268890250797,433.270391087946,433.105654545454,-0.00108037352722022,67.2385821346371,-1.79698029582994,30.6463138590552,29.6556333333333,-0.00543206949951221,107.407246362273,14,3,1,0,46245,0,0,0,0,2.96,0.5,"0: Broadleaf",2,"True",1677797752.3,420.2815,420.0058,29.66567,30.64639,420.8074,29.26903,500.3542,88.76234,0.10009913,31.58032,31.23253,999.9,0,0,10024.986,0,0.278209,0.2758576,433.1307,433.2843,-0.9807237,420.0058,30.64639,2.633194,2.720245,21.87406,22.40794,0,0,0,0,3.93,0,-16.81,-2.92,37.062,41.6374,39.3998,40.8498,38.562,0,0,0,1677797755.6,0,0,"--:--:--",1675439743,1675439745,0,-1.108,-0.214,-1.206,0.007,420,23,0.5,0.32,0.33461187804878,-0.267216062717769,0.0435741402283931,0,-0.943295731707317,-0.235034947735194,0.0233179167824735,0,0,2,"0/2",2.83828,2.71037,0.0893438,0.0891752,0.116106,0.118445,26007.1,22212.8,25566.3,23760,38615.5,34664,46282,42381.7,1.72908,1.82025,0.0200048,0,30.8047,999.9,55.097,32.7,30.8355,57.2295,44.1226,1,0.209078,9.28105,20.0097,5.23975,11.998,4.9575,3.30395,9999,9999,9999,999.9,1.86874,1.86443,1.87195,1.86295,1.86232,1.86874,1.85883,1.8652,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,-0.526,0.3959,-0.313142003518622,-0.000573800699069266,1.31796767940654e-07,7.45644886919251e-11,-0.171698093289274,-0.0330247527990624,0.00253311971247735,-2.53302209654789e-05,2,2122,1,28,39300.2,39300.2,1.05835,2.38281,1.44775,2.30469,1.44409,2.44141,40.2982,23.746,18,411.555,452.454,23.7593,30.0131,30.0007,29.5912,29.5919,21.2339,0,100,22.4015,420.012,31.7189,97.9064,99.6444,NA,4
30,1677797760.1,883.5,"20230302 16:56:00","16:56:00",5,"pas_smi17_t1_ch4","gibson",1677797757.6,-0.00184914919329931,-1.84914919329931,0.0603624206810838,420.333222183638,406.816399405914,36.1481612609288,37.3492148325599,-0.0824504358496696,3.51959615525665,-0.0835387957032298,-0.0521127722581264,0,31.7681255653348,31.0381444444444,4.52119941999582,57.1771792428952,2.63353401697489,4.60591804605704,1.88766540302093,81.5474794244996,61.8727587568081,3.9554935063645,147.375731687672,0.190465929379811,-1.7588802012228,0.0603624206810838,433.301781634118,433.211472727273,0.0113512672919678,67.2385821346371,-1.84914919329931,30.6472810524958,29.6254133333333,-0.005258793633784,107.407246362273,14,3,1,0,46266,0,0,0,0,2.96,0.5,"0: Broadleaf",2,"True",1677797757.6,420.333222222222,420.008555555556,29.6381555555556,30.6477666666667,420.859111111111,29.2428555555556,500.388777777778,88.7561222222222,0.100082477777778,31.3642222222222,31.0381444444444,999.9,0,0,10008.8222222222,0,0.278209,0.324819,433.171888888889,433.288111111111,-1.009603,420.008555555556,30.6477666666667,2.63056777777778,2.72017777777778,21.8577,22.4075111111111,0,0,0,0,-2.66666666666667,0,-15.1555555555556,-3.04444444444444,37.062,41.625,39.4094444444444,40.826,38.5482222222222,0,0,0,1677797760.4,0,0,"--:--:--",1675439743,1675439745,0,-1.108,-0.214,-1.206,0.007,420,23,0.5,0.32,0.316368317073171,-0.260196543554007,0.0489501380498011,0,-0.964506829268293,-0.275454188153311,0.0272928398641274,0,0,2,"0/2",2.83826,2.71028,0.0893603,0.0891566,0.116021,0.118444,26006.6,22213.2,25566.3,23760,38619.1,34664.1,46281.8,42381.9,1.7292,1.8199,0.0137836,0,30.7144,999.9,55.097,32.7,30.8376,57.2695,44.4231,1,0.209754,9.28105,20.0103,5.24035,11.998,4.9575,3.30395,9999,9999,9999,999.9,1.86873,1.86443,1.87195,1.86294,1.86233,1.86874,1.85884,1.86518,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,-0.526,0.3946,-0.313142003518622,-0.000573800699069266,1.31796767940654e-07,7.45644886919251e-11,-0.171698093289274,-0.0330247527990624,0.00253311971247735,-2.53302209654789e-05,2,2122,1,28,39300.3,39300.3,1.05835,2.40601,1.44775,2.30469,1.44409,2.31201,40.2728,23.7373,18,411.649,452.269,23.5289,30.0248,30.0007,29.595,29.5964,21.2358,0,100,22.3932,420.012,31.7189,97.9062,99.6447,NA,4
31,1677797765.1,888.5,"20230302 16:56:05","16:56:05",5,"pas_smi18_t1_ch4","gibson",1677797762.3,-0.0019359574291338,-1.9359574291338,0.16936015288365,420.414599891666,409.065813904571,36.3480151691541,37.3564246504379,-0.0882546621133983,3.51717178651428,-0.0895037772057374,-0.0558261678862975,0,31.5931372620384,30.86158,4.47589498658396,57.7528641869304,2.63080415214317,4.55527910031955,1.84509083444078,85.3757226248004,58.4724303023843,3.73385284867029,147.582005775855,0.0343636009433531,-1.81770685927496,0.16936015288365,433.256273215939,433.183496969697,-0.00648907212015095,67.2385821346371,-1.9359574291338,30.650808314053,29.592363030303,-0.00704580130889466,107.407246362273,14,3,1,0,46279,0,0,0,0,2.96,0.5,"0: Broadleaf",2,"True",1677797762.3,420.4146,419.9828,29.60745,30.65105,420.9403,29.21358,500.2982,88.75622,0.09993452,31.16995,30.86158,999.9,0,0,9998.99,0,0.278209,0.4317108,433.2418,433.2628,-1.04359,419.9828,30.65105,2.627845,2.72047,21.84075,22.40929,0,0,0,0,-1.62,0,-17.41,-3.35,37.062,41.6436,39.4308,40.8246,38.531,0,0,0,1677797765.2,0,0,"--:--:--",1675439743,1675439745,0,-1.108,-0.214,-1.206,0.007,420,23,0.5,0.32,0.338972902439024,0.304673644599302,0.0733487377439082,0,-0.990131975609756,-0.336137435540069,0.0333132078161111,0,0,2,"0/2",2.8383,2.71014,0.089357,0.0891664,0.115933,0.118456,26005.7,22212.4,25565.3,23759.5,38621.7,34662.9,46280.2,42381,1.72895,1.81953,0.00879169,0,30.6199,999.9,55.097,32.72,30.8718,57.2495,43.5737,1,0.210495,9.28105,20.0111,5.2399,11.998,4.95735,3.30398,9999,9999,9999,999.9,1.86874,1.8644,1.87195,1.86295,1.86228,1.86872,1.85883,1.86517,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,-0.526,0.3929,-0.313142003518622,-0.000573800699069266,1.31796767940654e-07,7.45644886919251e-11,-0.171698093289274,-0.0330247527990624,0.00253311971247735,-2.53302209654789e-05,2,2122,1,28,39300.4,39300.3,1.05835,2.36938,1.44775,2.30469,1.44409,2.51343,40.2982,23.7548,18,411.539,452.074,23.3115,30.0365,30.0008,29.5994,29.6015,21.2368,0,100,22.3814,420.012,31.7189,97.9028,99.6424,NA,4
