SYS,SYS,SYS,SYS,SYS,USERDEF,USERDEF,USERDEF,USERDEF,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,MATCH,MATCH,MATCH,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,META,META,META,META,META,META,META
8,11:42:32,3/9/23,Auto gsw+F,LI-COR Default,,8,,,0.022299,2.923841,0.02213,0.599437,1.779004,1.764054,4.147212,2.368208,19.515217,19.680609,45.87941,0.441786,PSF-00438_20230309114232,0,0,0,97.659943,183.776321,0.468593,0.5,0.8,125.9589,46.14,45.75,28.27,29.53,90.39,157,155.3,1,672,4.084,11:37:43,3/9/23,-0.11,0,0.001,-9999,-2.231,0.975,-9999,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,173.049332,25,-7.767959,170.618179,172.672089,-2.053909,2.461116,2.475924,1.657737,0.934541,0.23944,0.015077,0.192432,0.711816,97.659943,0.000248,2.38896,-0.000025,1,2.402765,-0.000034,1,0.600816,0.600971,0.107301,0,PSF-00438_20230309114232,PFA-00474,PSA-00486,PSF-00438,RHS-00603,2.0.0,2021-01-19T12:57:14.097Z
9,11:44:50,3/9/23,Auto gsw+F,LI-COR Default,,9,,,0.014356,2.922605,0.014286,0.373014,1.684889,1.675567,3.971178,2.286289,18.537495,18.640625,43.934788,0.441786,PSF-00438_20230309114450,0,0,0,147.603745,336.362976,0.561177,0.5,0.8,121.638672,42.46,42.22,28.77,28.78,90.39,156.8,152.7,2.6,542,4.08,11:37:43,3/9/23,-0.11,-0.001,0,-9999,8.155,1.849,-9999,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,321.446289,25,-11.105156,317.390442,320.488251,-3.097809,2.456275,2.470834,1.656439,0.927868,0.234786,0.000343,0.206848,0.594769,147.603745,0.000247,2.38896,-0.000025,1,2.402765,-0.000034,1,0.600816,0.600971,0.107301,0,PSF-00438_20230309114450,PFA-00474,PSA-00486,PSF-00438,RHS-00603,2.0.0,2021-01-19T12:57:14.097Z
10,11:47:04,3/9/23,Auto gsw+F,LI-COR Default,,10,,,0.006605,2.922355,0.00659,0.185992,1.741543,1.736896,4.209004,2.467461,19.21287,19.264269,46.558361,0.441786,PSF-00438_20230309114704,0,0,0,131.688599,414.527893,0.682317,0.5,0.8,95.072113,42.92,42.81,29.15,29.79,90.4,156.8,144.9,7.6,348,4.076,11:37:43,3/9/23,-0.11,-0.002,-0.001,-9999,0.79,0.614,-9999,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,400.720245,25,-9.976961,398.314117,400.2659,-1.951782,2.456987,2.471387,1.656177,0.908213,0.231269,0.007746,0.220738,0.420659,131.688599,0.000245,2.38896,-0.000025,1,2.402765,-0.000034,1,0.600816,0.600971,0.107301,0,PSF-00438_20230309114704,PFA-00474,PSA-00486,PSF-00438,RHS-00603,2.0.0,2021-01-19T12:57:14.097Z
11,11:50:21,3/9/23,Auto gsw+F,LI-COR Default,,11,,,0.06946,2.921904,0.067847,1.698435,1.826411,1.783994,4.016828,2.190417,19.729595,20.198687,44.423,0.441786,PSF-00438_20230309115021,0,0,0,152.674911,224.205032,0.319039,0.5,0.8,79.049179,43.57,42.56,29.72,28.98,90.42,156.7,145.2,7.4,619,4.071,11:37:43,3/9/23,-0.11,0.001,0.004,0.004,0.142,-0.562,18.353,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,218.71698,25,-4.518248,216.743942,217.746231,-1.002289,2.456533,2.472141,1.655705,0.908979,0.226169,-0.008551,0.240063,0.664523,152.674911,0.000246,2.38896,-0.000025,1,2.402765,-0.000034,1,0.600816,0.600971,0.107301,0,PSF-00438_20230309115021,PFA-00474,PSA-00486,PSF-00438,RHS-00603,2.0.0,2021-01-19T12:57:14.097Z
12,11:51:12,3/9/23,Auto gsw+F,LI-COR Default,,12,,,0.051112,2.923094,0.050234,1.494315,1.752039,1.714728,4.350791,2.598752,18.965557,19.378227,48.121426,0.441786,PSF-00438_20230309115112,0,0,0,74.952362,159.551788,0.530232,0.5,0.8,147.224808,41.52,40.63,29.83,30.37,90.41,156.9,156.2,0.5,694,4.07,11:51:00,3/9/23,-0.12,0.001,0.001,-9999,-0.701,-0.418,-9999,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,147.393463,25,-8.400404,146.516205,147.543488,-1.027283,2.453911,2.469338,1.656952,0.936669,0.225129,0.00652,0.244818,0.731739,74.952362,0.000242,2.38896,-0.000025,1,2.402765,-0.000034,1,0.600816,0.600971,0.107301,0,PSF-00438_20230309115112,PFA-00474,PSA-00486,PSF-00438,RHS-00603,2.0.0,2021-01-19T12:57:14.097Z
13,11:54:33,3/9/23,Auto gsw+F,LI-COR Default,,13,,,0.086903,2.922893,0.084394,2.250853,1.864359,1.808217,4.195075,2.330716,19.998421,20.619329,46.396454,0.441786,PSF-00438_20230309115433,0,0,0,99.481346,277.288361,0.641235,0.5,0.8,122.194435,43.37,42.07,30.15,29.73,90.42,156.8,150.4,4.1,476,4.064,11:51:00,3/9/23,-0.12,-0.001,-0.003,-9999,-0.329,-1.128,-9999,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,256.98996,25,-15.607,250.445724,254.978287,-4.532562,2.455779,2.471785,1.656741,0.922181,0.222303,-0.004868,0.263548,0.535858,99.481346,0.000245,2.38896,-0.000025,1,2.402765,-0.000034,1,0.600816,0.600971,0.107301,0,PSF-00438_20230309115433,PFA-00474,PSA-00486,PSF-00438,RHS-00603,2.0.0,2021-01-19T12:57:14.097Z
14,11:58:01,3/9/23,Auto gsw+F,LI-COR Default,,14,,,0.046797,2.921404,0.046059,1.342312,1.811553,1.77802,4.356283,2.54473,19.668034,20.038973,48.188175,0.441786,PSF-00438_20230309115801,0,0,0,152.231812,212.413162,0.283322,0.5,0.8,53.456047,42.01,41.23,30.21,30.39,90.4,156.7,130.8,16.5,472,4.06,11:51:00,3/9/23,-0.12,0.001,0.003,-9999,0.385,-0.67,-9999,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,208.192703,25,-3.847527,205.996155,206.913162,-0.917007,2.454636,2.46992,1.65518,0.873598,0.221796,0.002263,0.282161,0.531618,152.231812,0.000246,2.38896,-0.000025,1,2.402765,-0.000034,1,0.600816,0.600971,0.107301,0,PSF-00438_20230309115801,PFA-00474,PSA-00486,PSF-00438,RHS-00603,2.0.0,2021-01-19T12:57:14.097Z
15,11:59:56,3/9/23,Auto gsw+F,LI-COR Default,,15,,,0.036473,2.921475,0.036023,1.047637,1.794434,1.768257,4.334496,2.540062,19.559233,19.848782,47.945179,0.441786,PSF-00438_20230309115956,0,0,0,119.883301,239.827133,0.500126,0.5,0.8,130.220062,41.29,40.69,30.35,30.3,90.41,156.7,154.7,1.2,651,4.057,11:51:00,3/9/23,-0.12,0,-0.001,-0.001,-4.303,-2.709,-9.984,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,233.159058,25,-4.42894,233.856079,233.496002,0.360077,2.45388,2.46892,1.655255,0.93302,0.22063,-0.000384,0.292394,0.692863,119.883301,0.000245,2.38896,-0.000025,1,2.402765,-0.000034,1,0.600816,0.600971,0.107301,0,PSF-00438_20230309115956,PFA-00474,PSA-00486,PSF-00438,RHS-00603,2.0.0,2021-01-19T12:57:14.097Z
16,12:02:08,3/9/23,Auto gsw+F,LI-COR Default,,16,,,0.041044,2.923055,0.040475,1.186147,1.781485,1.75188,4.341207,2.559721,19.377485,19.704952,48.017948,0.441786,PSF-00438_20230309120208,0,0,0,108.154533,299.05246,0.638343,0.5,0.8,97.991501,40.6,39.93,30.51,30.33,90.41,156.9,146.8,6.4,384,4.054,12:01:31,3/9/23,-0.12,0.001,0.001,-9999,-1.683,-1.112,-9999,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,293.988708,25,-3.335374,294.641022,294.284576,0.356445,2.452817,2.467956,1.656911,0.91301,0.219183,-0.002063,0.303454,0.452531,108.154533,0.000246,2.38896,-0.000025,1,2.402765,-0.000034,1,0.600816,0.600971,0.107301,0,PSF-00438_20230309120208,PFA-00474,PSA-00486,PSF-00438,RHS-00603,2.0.0,2021-01-19T12:57:14.097Z
17,12:03:24,3/9/23,Auto gsw+F,LI-COR Default,,17,,,0.068677,2.921335,0.0671,1.977771,1.620059,1.570539,4.198981,2.578922,17.372358,17.920116,46.446594,0.441786,PSF-00438_20230309120324,0,0,0,129.422302,230.343323,0.438133,0.5,0.8,173.859543,36.86,35.73,30.54,29.75,90.4,156.7,149.8,4.4,992,4.053,12:01:31,3/9/23,-0.12,0,-0.001,-9999,-1.835,-2.245,-9999,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,221.638443,25,-6.014609,222.322937,221.745483,0.577454,2.447072,2.462802,1.655109,0.920544,0.218909,-0.009347,0.309778,0.999716,129.422302,0.000244,2.38896,-0.000025,1,2.402765,-0.000034,1,0.600816,0.600971,0.107301,0,PSF-00438_20230309120324,PFA-00474,PSA-00486,PSF-00438,RHS-00603,2.0.0,2021-01-19T12:57:14.097Z
18,12:04:30,3/9/23,Auto gsw+F,LI-COR Default,,18,,,0.044722,2.923498,0.044048,1.363665,1.722262,1.688218,4.425785,2.703523,18.674871,19.051466,48.957531,0.441786,PSF-00438_20230309120430,0,0,0,99.064705,203.54155,0.513295,0.5,0.8,149.967377,39.13,38.36,30.57,30.66,90.4,156.9,155.9,0.6,730,4.052,12:01:31,3/9/23,-0.12,0,0.002,-0.002,-4.29,-2.183,-7.708,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,196.990723,25,-4.4016,197.679871,197.249496,0.430374,2.450669,2.46593,1.657377,0.936101,0.218706,0.001306,0.315177,0.764359,99.064705,0.000245,2.38896,-0.000025,1,2.402765,-0.000034,1,0.600816,0.600971,0.107301,0,PSF-00438_20230309120430,PFA-00474,PSA-00486,PSF-00438,RHS-00603,2.0.0,2021-01-19T12:57:14.097Z
19,12:05:20,3/9/23,Auto gsw+F,LI-COR Default,,19,,,0.051335,2.922222,0.050449,1.709363,1.79368,1.750996,4.745948,2.952269,19.369318,19.841478,52.499138,0.441786,PSF-00438_20230309120520,0,0,0,89.236382,158.981216,0.438699,0.5,0.8,154.278198,40.65,39.68,30.61,31.89,90.4,156.8,156.1,0.5,879,4.05,12:01:31,3/9/23,-0.12,-0.001,-0.003,-9999,2.126,-3.125,-9999,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,148.309708,25,-7.576585,146.209717,148.150558,-1.940842,2.452464,2.467999,1.656037,0.9364,0.218329,0.015592,0.319242,0.898185,89.236382,0.000246,2.38896,-0.000025,1,2.402765,-0.000034,1,0.600816,0.600971,0.107301,0,PSF-00438_20230309120520,PFA-00474,PSA-00486,PSF-00438,RHS-00603,2.0.0,2021-01-19T12:57:14.097Z
20,12:06:41,3/9/23,Auto gsw+F,LI-COR Default,,20,,,0.017121,2.922498,0.017021,0.563824,1.866948,1.852883,4.752029,2.885081,20.494736,20.650312,52.562187,0.441786,PSF-00438_20230309120641,0,0,0,88.824036,149.590836,0.40622,0.5,0.8,145.060822,42.06,41.74,30.72,31.91,90.41,156.8,155.9,0.6,893,4.048,12:01:31,3/9/23,-0.12,0.002,0.003,-9999,-1.403,-0.423,-9999,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,134.596466,25,-12.303521,126.855972,132.003052,-5.147079,2.45522,2.469889,1.656327,0.936103,0.217428,0.014602,0.325667,0.910389,88.824036,0.000246,2.38896,-0.000025,1,2.402765,-0.000034,1,0.600816,0.600971,0.107301,0,PSF-00438_20230309120641,PFA-00474,PSA-00486,PSF-00438,RHS-00603,2.0.0,2021-01-19T12:57:14.097Z
21,12:08:49,3/9/23,Auto gsw+F,LI-COR Default,,21,,,0.0195,2.923061,0.01937,0.613216,1.801932,1.786631,4.563133,2.761201,19.762743,19.931997,50.474903,0.441786,PSF-00438_20230309120849,0,0,0,101.111053,199.597565,0.493425,0.5,0.8,146.673309,40.14,39.8,30.91,31.2,90.4,156.9,147.1,6.2,743,4.045,12:01:31,3/9/23,-0.12,0.001,0.001,-0.002,1.031,0.692,-7.055,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,191.054108,25,-6.145837,189.395432,190.812149,-1.416718,2.452568,2.467247,1.656917,0.91376,0.215772,0.003617,0.335163,0.775805,101.111053,0.000245,2.38896,-0.000025,1,2.402765,-0.000034,1,0.600816,0.600971,0.107301,0,PSF-00438_20230309120849,PFA-00474,PSA-00486,PSF-00438,RHS-00603,2.0.0,2021-01-19T12:57:14.097Z
